<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
N--ROCR-INSTALL FIRE PROTECTION AT CONDUIT,09152017,17,,Department of the Interior," NPS, NCR West MABO1100 Ohio Drive SWContracting AnnexWASHINGTONDC20242-0001US",,,<MOD>,N,236220,0bb80201-8a77-11e7-89d0-1cc1de329608,P17PS02085,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02085/listing.html,National Park Service,NPS - All Offices,20242,083117,Link To Document,PRESOL,0822,"Miller, Sherri",
Foster Dam Fish Ladder Crane Demolition,,17,,Department of the Army,Attn:  CECT-NWPrPO Box 2946 Portland OR 97208-2946,US,97386,<MOD>,P,238910,0bb80259-8a77-11e7-89d0-1cc1de329608,W9127N17Q0045,https://www.fbo.gov/spg/USA/COE/DACA57/W9127N17Q0045/listing.html,U.S. Army Corps of Engineers,"USACE District, Portland",97208-2946,091117,Link To Document,PRESOL,0822,"Robbie Newland, Phone 5038084634, Email robbie.newland@usace.army.mil - Anna G. Peine, Contracting Officer, Phone 5038084612, Email anna.g.peine@usace.army.mil",Total Small Business
Navigation and Seamanship Course,09302017,17,,Other Defense Agencies,2000 Trident Way; Bldg 603M San Diego CA  92155,US,,<MOD>,U,611519,0bb8025f-8a77-11e7-89d0-1cc1de329608,H92240-17-T-0047,https://www.fbo.gov/spg/ODA/USSOCOM/NAVSOC/H92240-17-T-0047/listing.html,U.S. Special Operations Command,NAVSOC, 92155,082417,Link To Document,PRESOL,0822,"Contracting Specialist, Email NSWKO2@socom.mil",N/A
"C--INDEFINITE DELIVERY/INDEFINITE QUANTITY CONTRACT FOR ARCHITECT-ENGINEER SERVICES FOR VARIOUS CIVIL ENGINEERING PROJECTS AND RELATED PROJECTS, VARIOUS LOCATIONS UNDER THE COGNIZANCE OF NAVFAC HAWAII",09092017,17,,Department of the Navy,"N62478 NAVFAC HAWAII ACQUISITION DEPARTMENT 400 MARSHALL RD PEARL HARBOR, HI",,,<MOD>,C,541330,0bb80223-8a77-11e7-89d0-1cc1de329608,N6247817R5030,https://www.fbo.gov/spg/DON/NAVFAC/N62742PH/N6247817R5030/listing.html,Naval Facilities Engineering Command,NAVFAC Hawaii,96860,082517,Link To Document,PRESOL,0822,ALICE MENDE (808) 474-2365,
"Y--Restore Historic Plaster Cornice, Rose Hill Manor ",10052017,17,Sheila_Rushlow@nps.gov,Department of the Interior,"NPS, WASO - WCP ContractingP.O.Box 25287 MS WCPDenverCO80225US",,,<MOD>,Y,238310,0bb80212-8a77-11e7-89d0-1cc1de329608,P17PS02291,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02291/listing.html,National Park Service,NPS - All Offices,80225,092017,sheila_rushlow@nps.gov,PRESOL,0822,"Rushlow, Sheilasheila_rushlow@nps.gov",Total Small Business
Z--IGF::OT::IGF  X:NOGRN  Replace Lift Station with A,09202017,17,,Department of the Interior,"NPS, NCR East MABO1100 Ohio Drive, SWContracting AnnexWASHINGTONDC20242-0001US",,,<MOD>,Z,237110,0bb80203-8a77-11e7-89d0-1cc1de329608,P17PS02167,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02167/listing.html,National Park Service,NPS - All Offices,20242,090517,Link To Document,PRESOL,0822,"Murphy, Robert",
Mark Twain - Road Reconstruction - Multiple Bid Items,,17,,Department of Agriculture,401 Fairgrounds Road Rolla MO 65401,,,<MOD>,Z,237310,0bb801e2-8a77-11e7-89d0-1cc1de329608,AG-64R4-S-17-0045,https://www.fbo.gov/notices/ca1bd48ac9701043e3b849a9bed3bf3b,Forest Service,R-9 Ohio River Basin - Mark Twain NF,65401,091817,Link To Document,PRESOL,0822,"Brittany R. Rohrer, Phone 5733417470, Email brohrer@fs.fed.us",
PM Services for Ultra-Pure Water System,09142017,17,,Department of Commerce,"100 Bureau Drive, Building 301rRoom B130 Gaithersburg MD 20899-1410",US,20899,<MOD>,J,811219,0bb801f4-8a77-11e7-89d0-1cc1de329608,NB193000-17-04412,https://www.fbo.gov/spg/DOC/NIST/AcAsD/NB193000-17-04412/listing.html,National Institute of Standards and Technology (NIST),Acquisition Management Division,20899-1410,082417,Link To Document,PRESOL,0822,"Gina Lee, Contract Specialist, Phone 3019758334, Email gina.lee@nist.gov",N/A
Veterans Technology Services 2 (VETS 2) GWAC,,17,,General Services Administration,1800 F. Street N.W.r4th Floor Washington DC 20405,,,<MOD>,D,541512,0bb801c9-8a77-11e7-89d0-1cc1de329608,QTA0016AWA0001,https://www.fbo.gov/notices/8ea22dca9e9521bfa4bb73a1da20333f,Federal Acquisition Service (FAS),ITS Office of Acquisition Operations (QTA),20405,062016,Link To Document,PRESOL,0822,"Alex W. Wrisinger, Contracting Officer, Email VETS2@gsa.gov",
DAKOTA PRAIRIE GRASSLANDS - Eberts Ranch Water Wells Project,09302017,17,,Department of Agriculture,,US,58601,<MOD>,Z,237110,0bb801dd-8a77-11e7-89d0-1cc1de329608,AG-87BJ-S-17-0015,https://www.fbo.gov/spg/USDA/FS/398/AG-87BJ-S-17-0015/listing.html,Forest Service,R-1 East Side Acquisition Team: Beaverhead-Deerlodge; Custer Gallatin; Helena; Lewis  Clark NFs; Dakota Prairie NG,Total Small Business,090517,Link To Document,PRESOL,0822,"Dana M. Bangart, Contract Specialist, Phone 406-624-3442, Email dbangart@fs.fed.us - Gary B. Stephens, Sup. Contract Specialist, Phone (406) 624-3440, Email gbstephens@fs.fed.us",Total Small Business
42--Personal Protection Equipment-Various,02202018,17,,Department of the Army,"127th MSC Contracting Division, Selfridge ANG Base, MI 48045",US,48045,<MOD>,42,,0bb801c5-8a77-11e7-89d0-1cc1de329608,W912JB17T4060,https://www.fbo.gov/notices/635523adade34739303d5a1945efddb6,FedBid,FedBid.com -- for Department of Army procurements only,22030,082417,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
S5121A-17-R-0008,,17,,Defense Contract Management Agency,3901 A AverBLDG 10500 Fort Lee VA 23801-1809,,,<MOD>,D,511210,0bb801bc-8a77-11e7-89d0-1cc1de329608,S5121A-17-R-0008,https://www.fbo.gov/spg/DCMA/DSPPMRO/DCMA-OCB/S5121A-17-R-0008/listing.html,Defense Contract Management Agency,DCMA AQ,23801-1809,072717,Link To Document,PRESOL,0725,"Natasha Y. Johnson, Contract Specialist, Phone 8047340438, Email natasha.johnson@dcma.mil",
MOTCO Roads Paving SATOC,,17,,Department of the Army,1325 J. Street Sacramento CA 95814,,,<MOD>,Z,237990,0bb8025b-8a77-11e7-89d0-1cc1de329608,W91238-17-S-0198,https://www.fbo.gov/spg/USA/COE/DACA05/W91238-17-S-0198/listing.html,U.S. Army Corps of Engineers,"USACE District, Sacramento",95814,090517,Link To Document,PRESOL,0822,"Amber Scyoc, Phone 9165577040, Email amber.scyoc@usace.army.mil",
Jackson Heart Study Training and Education Center Pre-Solicitation Notice,08162018,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstituteBethesdaMD20892-7902USA",,,<MOD>,A,541712,0bb801fc-8a77-11e7-89d0-1cc1de329608,HHSN26818HV00009R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26818HV00009R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,,Link To Document,PRESOL,0822,"BRADY, MARK E.",
S--17 WCF FCCO GROUNDSKEEPING,09202017,17,,Department of the Interior,"Bureau of ReclamationUpper Colorado RegionRegional Office125 South State Street, Room 8100Salt Lake CityUT84138US",,,<MOD>,S,561730,0bb801b6-8a77-11e7-89d0-1cc1de329608,R17PS01177,https://www.fbo.gov/notices/a45015468242e32a4df2a66a2ff6f546,Bureau of Reclamation,BOR - All Offices,84138,090517,Link To Document,PRESOL,0822,"Spencer, Tyler",N/A
"RFP: Sheppard Air Force Base, Base Maintenance Contract (BMC)",,17,,Department of the Air Force,,US,76311,<MOD>,S,561210,0bb80183-8a77-11e7-89d0-1cc1de329608,FA3002-16-R-0019,https://www.fbo.gov/notices/870dd4aa1031d911d19a3435ea74cf95,AFICA,AFICA- CONUS,,090817,Link To Document,SNOTE,0822,"Brian T Reese, Contracting Officer, Phone 2106522135, Email brian.reese.2@us.af.mil - Magdalenda Hudson-Murray, Contract Specialist, Phone 2106528605, Email magdalenda.hudson-murray.1@us.af.mil",N/A
RPO VEGETATIVE MAINTENANCE,,17,,Department of the Army,"1222 Spruce Street, Room 4.207 St. Louis MO 63103-2833",US,63386,<MOD>,99,561730,0bb80248-8a77-11e7-89d0-1cc1de329608,W912P9-17-R-0037,https://www.fbo.gov/notices/12ea94c2be362c1da41c553dd7159d82,U.S. Army Corps of Engineers,USACE District St. Louis,63103-2833,092217,Link To Document,PRESOL,0822,"Barrietta Killiebrew, Contract Specialist, Phone 314 331-8514, Email Barrietta.Killiewbrew@usace.army.mil",Total Small Business
Subscription Services,,17,,Department of Commerce,"100 Bureau Drive, Building 301rRoom B130 Gaithersburg MD 20899-1410",,,<MOD>,D,519130,0bb801f2-8a77-11e7-89d0-1cc1de329608,SB1350-17-I-04530,https://www.fbo.gov/spg/DOC/NIST/AcAsD/SB1350-17-I-04530/listing.html,National Institute of Standards and Technology (NIST),Acquisition Management Division,20899-1410,082517,Link To Document,SRCSGT,0822,"Monica Brown, Phone 2024820932, Email monica.brown@trade.gov",
"70--OPTION - Purchase maintenance, renewal, and technical support for Hewlett Packard Unified Function Tester (HP-UFT) Automated Testing Tool",02192018,17,,Department of Labor,"1100 Wilson Blvd, Arlington, VA 22209",US,15236,<MOD>,70,,0bb8022d-8a77-11e7-89d0-1cc1de329608,1645-PEI-MSHA-17-Q-NAT-0008,https://www.fbo.gov/spg/DOL/OASAM/WashingtonDC/1645-PEI-MSHA-17-Q-NAT-0008/listing.html,Office of the Assistant Secretary for Administration and Management ,Office of Procurement Services,22030,082317,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
"61--CABLE ASSEMBLY,SPEC",10042017,17,,Department of the Navy,5450 Carlisle Pike Mechanicsburg PA 17050-0788,,,<MOD>,61,,0bb80229-8a77-11e7-89d0-1cc1de329608,SPRMM117RPN37,https://www.fbo.gov/spg/DON/NAVSUP/N000104/SPRMM117RPN37/listing.html,Naval Supply Systems Command,NAVSUP Weapon Systems Support Mechanicsburg PA,17050-0788,091917,Link To Document,PRESOL,0822,"Tonya L Nearhood, Phone 717-605-6042, Fax 717-605-2764, Email tonya.nearhood@dla.mil",
Truman Dam  Resivoir Powerhouse Exicter Replacement,,17,,Department of the Army,Attn:  CENWK-CTr635 Federal Building 60l East 12th Street Kansas City MO 64106-2896,,,<MOD>,Y,237990,0bb80251-8a77-11e7-89d0-1cc1de329608,W912DQ-17-R-1008,https://www.fbo.gov/spg/USA/COE/DACA41/W912DQ-17-R-1008/listing.html,U.S. Army Corps of Engineers,"USACE District, Kansas City",64106-2896,091417,Link To Document,PRESOL,0822,"Traci Davis, Phone 8163892399, Email traci.a.davis@usace.army.mil",
"Lease of Office Space for 2020 Area Census Offices x96 Birmingham, AL",,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb80236-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7AL2123,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7AL2123/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,080717,Link To Document,SRCSGT,0718,"William Justin Kidwell, Lease Contracting Officer, Phone 404-562-5033, Fax 404-562-0869, Email justin.kidwell@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
TTU-205 Universal Power Supply,,17,,Department of the Air Force,3180 S Craycroft Rd Davis Monthan AFB AZ 85707-3522,US,85707,<MOD>,61,335999,0bb80185-8a77-11e7-89d0-1cc1de329608,FA487717Q0358,https://www.fbo.gov/spg/USAF/ACC/355CONS/FA487717Q0358/listing.html,Air Combat Command,355 CONS,85707-3522,082517,Link To Document,SRCSGT,0822,"Tianheng Luo, Phone 5202280041, Email tianheng.luo.cn@us.af.mil - Amanda Fay Henderson , Phone 5202282213, Email amanda.henderson.2@us.af.mil",N/A
N--ROCR - FIRE AND SECURITY SYSTEM AT H-3,09152017,17,,Department of the Interior," NPS, NCR West MABO1100 Ohio Drive SWContracting AnnexWASHINGTONDC20242-0001US",USA,20015,<MOD>,N,236220,0bb801ff-8a77-11e7-89d0-1cc1de329608,P17PS01600,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS01600/listing.html,National Park Service,NPS - All Offices,20242,083117,Link To Document,PRESOL,0822,"Miller, Sherri",Woman Owned Small Business
Electrophysiology Booths,,17,,Department of Health and Human Services,"6001 Executive BoulevardrRoom 4211, MSC 9559 Bethesda MD 20892-9559",,,<MOD>,66,334515,0bb801fd-8a77-11e7-89d0-1cc1de329608,HHS-NIH-NIDA-SSSA-NOI-17-578,https://www.fbo.gov/spg/HHS/NIH/NIDA-01/HHS-NIH-NIDA-SSSA-NOI-17-578/listing.html,National Institutes of Health,National Institute on Drug Abuse,20892-9559,082417,Link To Document,PRESOL,0822,"Sneha V Singh, Phone 3014802443, Email sneha.singh@nih.gov",
Z--NIFC CMP STORM WATER MITIGATION,09202017,17,,Department of the Interior,BLM FA-NTL INTRAGCY FIRE CTR(FA250)3833 S. DEVELOPMENT AVE.BOISEID83705US,,,<MOD>,Z,237110,0bb801af-8a77-11e7-89d0-1cc1de329608,L17PS00922,https://www.fbo.gov/spg/DOI/BLM/NCR/L17PS00922/listing.html,Bureau of Land Management,National Centers Region,83705,090517,Link To Document,PRESOL,0822,"Worthley, Jeffrey",
Legal Advisory Services Related to Transportation Infrastructure Financing,,17,,Department of Transportation,"Mail Stop E62-204r1200 New Jersey Avenue, SE Washington DC 20590",,,<MOD>,R,541110,0bb801cf-8a77-11e7-89d0-1cc1de329608,DTFH6117RI00010,https://www.fbo.gov/spg/DOT/FHWA/OAM/DTFH6117RI00010/listing.html,Federal Highway Administration (FHWA),Office of Acquisition and Grants Management,20590,083117,Link To Document,SNOTE,0822,"Samantha A Reizes, Phone (202) 366-4227, Email samantha.reizes@dot.gov",
58--TacCom Equipment,01312018,17,,Department of Homeland Security,"99 High Street, Boston, MA 02110",Not Defined,null,<MOD>,58,,0bb801ce-8a77-11e7-89d0-1cc1de329608,BX00274Y2017T,https://www.fbo.gov/spg/DHS/FEMA/PP5-2/BX00274Y2017T/listing.html,Federal Emergency Management Agency,Acquisition Operations Division (AOD),22030,080417,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
R--ANNUAL MAINTENANCE SERVICES AGREEMENT FOR COPIER,09072017,17,,Department of the Interior,BIA NAVAJO 00009301 WEST HILL ROOM 346Contracting OfficeGallupNM87301US,,,<MOD>,R,811212,0bb801ab-8a77-11e7-89d0-1cc1de329608,A17PS01253,https://www.fbo.gov/spg/DOI/BIA/RestonVA/A17PS01253/listing.html,Bureau of Indian Affairs,BIA - DAPM,87301,082317,Link To Document,PRESOL,0822,"WILLIAMS-JAMES, CHARMAINE",
Ionic Resin Exchange Services,,17,,Department of the Army,74 C STREET Herlong CA 96113-5000,US,96113,<MOD>,H,562991,0bb801a2-8a77-11e7-89d0-1cc1de329608,W912GY17T0023,https://www.fbo.gov/notices/0f14fc2e6bf04a05402945b5efd27329,Army Contracting Command,ACC - WRN (W912GY)(SIAD),96113-5000,092117,Link To Document,PRESOL,0822,"Melissa Kaarbo, Lead Contract Specialist, Phone 5308274776, Fax 530-827-4722, Email melissa.m.kaarbo.civ@mail.mil - Tamara Ann Gage, Lead Contract Specialist, Phone 5308274258, Fax 5308274722, Email tamara.a.gage.civ@mail.mil",N/A
IRS Industry Day for Data Analytics and Innovation Support ,,17,,Department of the Treasury,"IRS, 1111 Constitution Ave, NW, rC7-NCFBr  Washington DC 20024",,,<MOD>,R,541611,0bb801e7-8a77-11e7-89d0-1cc1de329608,TTN-6012 ,https://www.fbo.gov/spg/TREAS/IRS/NOPAP/TTN-6012 /listing.html,Internal Revenue Service (IRS),National Office Procurement (OS:PR:P),20024,,Link To Document,SNOTE,0822,"Tanya Outland , Contract Specialist , Phone 2406138278, Email Tanya.E.Outland@irs.gov",
"Various Base Improvements Mihail Kogalniceanu Air Base, Romania",,17,,Department of the Army,,RO,,<MOD>,Y,236220,0bb8024d-8a77-11e7-89d0-1cc1de329608,W912GB-17-R-0020,https://www.fbo.gov/spg/USA/COE/DACA90/W912GB-17-R-0020/listing.html,U.S. Army Corps of Engineers,"USACE District, Europe",65187,090517,Link To Document,PRESOL,0822,"Jefferey A. Ball, Mr., Phone 49061197442619, Email jefferey.a.ball@usace.army.mil - Kristina Morrow, Ms., Email Kristina.Morrow@usace.army.mil",N/A
24-- Zero Turn Mower Diesel W 60 7 gauge rear discharge,03112018,17,,Department of the Interior,"2680 Natchez Trace Parkway, Tupelo, MS 38804",US,38804,<MOD>,24,,0bb80205-8a77-11e7-89d0-1cc1de329608,tc082117,https://www.fbo.gov/spg/DOI/NPS/APC-IS/tc082117/listing.html,National Park Service,NPS - All Offices,22030,091217,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
"T-AKE Class Ship: Ian Conrad Bergan, Tank Level Indicator System",10312017,17,,Department of the Navy,Building SP-64r471 East C StreetrNaval Station Norfolk Norfolk VA 23511,US,,<MOD>,20,811310,0bb801e8-8a77-11e7-89d0-1cc1de329608,N32205-17-Q-4252,https://www.fbo.gov/notices/430f097d877393d0d6053f51f8232f2a,Military Sealift Command,MSC Norfolk (N32205),23511,090717,Link To Document,SRCSGT,0822,"Donnie S. Leger, Contract Specialist, Phone (757) 443-5900, Email donnie.leger@navy.mil",N/A
Post 45 Daniel Island Placement Area Site Work,01312018,17,,Department of the Army,69-A Hagood Avenue Charleston SC 29403-5107,US,,<MOD>,Z,237990,0bb8024b-8a77-11e7-89d0-1cc1de329608,W912HP-17-R-0024,https://www.fbo.gov/notices/59805e7b211f803414f6be7de948f103,U.S. Army Corps of Engineers,"USACE District, Charleston",29403-5107,,Link To Document,PRESOL,0822,"Amy S. Rivers, Phone 8433298113, Email amy.s.rivers@usace.army.mil",Total Small Business
Levee repair to numerous Federal Levees ,,17,,Department of the Army,Attn:  CENWK-CTr635 Federal Building 60l East 12th Street Kansas City MO 64106-2896,US,,<MOD>,Z,237990,0bb80250-8a77-11e7-89d0-1cc1de329608,W912DQ-17-B-1001,https://www.fbo.gov/spg/USA/COE/DACA41/W912DQ-17-B-1001/listing.html,U.S. Army Corps of Engineers,"USACE District, Kansas City",64106-2896,082917,Link To Document,PRESOL,0822,"Andre D. Vasseur, Contract Specialist, Phone 8163893435, Email andre.d.vasseur@usace.army.mil",Woman Owned Small Business
Rplace High Voltage Switch Gears,,17,,Department of the Air Force,,ES,42530,<MOD>,Z,237130,0bb80263-8a77-11e7-89d0-1cc1de329608,FA5575-17-R-0003,https://www.fbo.gov/notices/1113fded04a8c4e3f680502dabba0c70,US Air Force Europe,496 ABS/LGC - Moron ,09643-6585,,Link To Document,PRESOL,0822,"Paul J Denton, Phone 34955848482, Email paul.denton.6@us.af.mil - Joseph J Carter, Phone 34955848591, Email joseph.carter.20@us.af.mil",N/A
"FCC Allenwood Bread, Dairy, Eggs QTR 1 FY18",10202017,17,,Department of Justice,"PO Box 3500Rt. 15, 2 Miles North of Allenwood White Deer PA 17887",US,17810,<MOD>,89,311999,0bb801b4-8a77-11e7-89d0-1cc1de329608,RFQP02011800001,https://www.fbo.gov/spg/DOJ/BPR/20104/RFQP02011800001/listing.html,Bureau of Prisons,FCC Allenwood,17887,091217,Link To Document,PRESOL,0822,"Andrea Gavitt, Andrea Gavitt, Phone 5705470963, Email amgavitt@bop.gov",N/A
"Y--Construction of maintenance shed in Sitka, AK",09162017,17,,Department of the Interior,"NPS, ARO - Alaska Regional Office240 W. 5th Ave, Room 114AnchorageAK99501-2327US",,,<MOD>,Y,236210,0bb80211-8a77-11e7-89d0-1cc1de329608,P17PS02255,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02255/listing.html,National Park Service,NPS - All Offices,99501,090117,Link To Document,PRESOL,0822,"Jordan, Amanda",
Jackson Heart Study Field Center Pre-Solicitation Notice,08162018,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstituteBethesdaMD20892-7902USA",,,<MOD>,A,541712,0bb801fa-8a77-11e7-89d0-1cc1de329608,HHSN26818HV00007R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26818HV00007R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,082917,Link To Document,PRESOL,0822,"BRADY, MARK E.",
"ACEP-WRE Easement Restoration in Gallatin County, IL",,17,,Department of Agriculture,,US,,<MOD>,Y,237990,0bb80218-8a77-11e7-89d0-1cc1de329608,AG-3C78-S-17-0053,https://www.fbo.gov/notices/e58277015389d8a6e504dff48f4c2bce,Natural Resources Conservation Service,Contracting Services Branch - Team 3,Total Small Business,092217,Link To Document,PRESOL,0822,"Ryan F. Lorimer, Phone 907-761-7744, Email ryan.lorimer@wdc.usda.gov",Total Small Business
USS KIDD (DDG 100) FY18 Selected Restricted Availability (SRA),,17,,Department of the Navy,1400 Farragut AverPuget Sound Naval Shipyard Bremerton WA 98207-5005,US,98207,<MOD>,J,336611,0bb80227-8a77-11e7-89d0-1cc1de329608,N4523A-17-R-0026,https://www.fbo.gov/spg/DON/NAVSEA/N62799/N4523A-17-R-0026/listing.html,Naval Sea Systems Command,Puget Sound Naval Shipyard (PSNSY) and IMF,98207-5005,092117,Link To Document,PRESOL,0822,"Carolyn A. Powell, Contract Specialist, Phone 425-304-4032, Email carolyn.powell1@navy.mil - Eric C. Niemann, Supervisory Contract Specialist, Phone 425-304-5522, Email eric.c.niemann2@navy.mil",Total Small Business
"Craney Island Eastward Expansion, Main Dike, Dredging and Debris Removal",,17,,Department of the Army,803 Front Street Norfolk VA 23510-1096,US,,<MOD>,Z,237990,0bb80256-8a77-11e7-89d0-1cc1de329608,W91236-17-R-0027,https://www.fbo.gov/spg/USA/COE/DACA65/W91236-17-R-0027/listing.html,U.S. Army Corps of Engineers,"USACE District, Norfolk",23510-1096,083117,Link To Document,PRESOL,0822,"Stormie S. B. Wicks, Phone 7572017215, Email Stormie.B.Wicks@USACE.Army.Mil - Eartha Garrett, Contracting Officer, Phone (757)201.7131, Email Eartha.Garrett@usace.army.mil",N/A
Fire Suppression ,,17,,Department of the Army,3127 WABASH AVENUErSUITE 101 EIELSON AFB AK 99702-1794,US,99702,<MOD>,J,238220,0bb801ec-8a77-11e7-89d0-1cc1de329608,W91ZRU-17-R-0220,https://www.fbo.gov/spg/USA/NGB/DAHA51-2/W91ZRU-17-R-0220/listing.html,National Guard Bureau,"168 MSG/MSC, AK ANG",99702-1794,091217,Link To Document,PRESOL,0822,"Jeffery Porter, Contract Specialist, Phone 9073778742, Email jeffery.g.porter2.mil@mail.mil - Martin Khan, Contract Specialist, Phone 9073778741, Email martin.khan.mil@mail.mil",Total Small Business
Repurpose Building (Convert 6 existing offices into 1 office),,17,,Department of the Army,"761st Tank Battalion Ave., Room W103 Fort Hood TX 76544-5025",US,76544,<MOD>,Z,236220,0bb801a8-8a77-11e7-89d0-1cc1de329608,W91151-17-B-0042,https://www.fbo.gov/notices/cb8ce9c4be2ea83507ee729584d09d8f,"Army Contracting Command, MICC",MICC - Fort Hood,76544-5025,091917,Link To Document,PRESOL,0822,"Andres J. Garcia, Contract Specialist, Phone 2542873999, Email andres.j.garcia.civ@mail.mil",Woman Owned Small Business
B--Organic Technical Science - Analytical Services,09212017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND FA5275 Leesburg PikeMS: BMOFalls ChurchVA22041-3803",,,<MOD>,B,541380,0bb801da-8a77-11e7-89d0-1cc1de329608,F17PS00726,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS00726/listing.html,Fish and Wildlife Service,CGS-WO,22041,090617,Link To Document,PRESOL,0822,"DeLawder, Sarah",
Defense Language Institute Foreign Language Center (DLIFLC) DLPT5 Quality Control  Validations,,17,,General Services Administration,2300 Main Kansas City MO 64108,US,93944,<MOD>,U,611710,0bb801c8-8a77-11e7-89d0-1cc1de329608,ID06170027,https://www.fbo.gov/notices/9d6fe1b6082987983f9c3793c36990d0,Federal Acquisition Service (FAS),IFMPS,64108,090517,Link To Document,PRESOL,0822,"David J. Smisek, Contracting Officer, Phone 8168232932, Email david.smisek@gsa.gov - Donald Beadudet, Program Manager, Phone 8169263298, Email donald.beaudet@gsa.gov",N/A
58--Night Vision Goggles and Accessories in support of NNSA Office of Secure Transp,09222017,17,,Department of Energy,NNSA Construction  Specialty AcquiNA-APM-123Albuquerque ComplexP.O. Box 5400AlbuquerqueNM87185-5400USA,,,<MOD>,58,333314,0bb801d2-8a77-11e7-89d0-1cc1de329608,DE-SOL-0011142,https://www.fbo.gov/spg/DOE/PAM/HQ/DE-SOL-0011142/listing.html,Federal Locations,All DOE Federal Contracting Offices,87185,090717,Link To Document,SNOTE,0822,"Schmeelk, Jonathan P.",
ELECTRON GUN DESIGN AND ASSEMBLY,,17,,Department of the Navy,4555 Overlook Ave S.W. Washington DC 20375,US,20375,<MOD>,R,541712,0bb8022c-8a77-11e7-89d0-1cc1de329608,N00173-17-Q-0304A,https://www.fbo.gov/spg/DON/ONR/3400/N00173-17-Q-0304A/listing.html,Office of Naval Research,Naval Research Laboratory/Supply,20375,082517,Link To Document,SNOTE,0822,"Brandii D King, Phone 202-404-1708, Email brandii.king@nrl.navy.mil - Michelle R. Waters, Contracting Officer, Phone 2027672243, Fax 202-767-6678, Email michelle.waters@nrl.navy.mil",N/A
Z--Garage Roof Replacement at Little Pend Oreille Nat,09212017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GEEASTSIDE FEDERAL COMPLEX911 NE 11TH AVENUEPORTLANDOR97232-4181US",,,<MOD>,Z,238160,0bb801d8-8a77-11e7-89d0-1cc1de329608,F17PS01164,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01164/listing.html,Fish and Wildlife Service,CGS-WO,97232,090617,Link To Document,PRESOL,0822,"Boisvert, Ryan",
Jackson Heart Study Community Engagement Center Pre-Solicitation Notice,08162018,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstituteBethesdaMD20892-7902USA",,,<MOD>,A,541712,0bb801fb-8a77-11e7-89d0-1cc1de329608,HHSN26818HV00008R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26818HV00008R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,,Link To Document,PRESOL,0822,"BRADY, MARK E.",
