<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DATE>,<DESC>,<CONTACT>,<SETASIDE>
"--Intent to award sole source contract for fisher capture and care services, WA",,17,sarah_welch@nps.gov,Department of the Interior,"NPS, PWR - OLYM MABO810 State Route 20Sedro-WoolleyWA98284US",,,<SNOTE>,,541940,0adf817e-8a77-11e7-89d0-1cc1de329608,P17PX02345,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PX02345/listing.html,National Park Service,NPS - All Offices,98284,,0822,C.O. e-mail: sarah_welch@nps.gov,C.O. e-mail: sarah_welch@nps.gov,
26 Federal Plaza Build Out Bid Opening,08282017,17,,General Services Administration,One World Trade Centerr55th Floor New York NY 10007,,,<SNOTE>,56,236220,0adf818c-8a77-11e7-89d0-1cc1de329608,GS-02-P-17-DT-C-FED,https://www.fbo.gov/notices/9af641f7b20d15ae99c918578597c76e,Public Buildings Service (PBS),R2 Acquisition Management Division Operations Branch C (47PC03),10007,,0822,Link To Document,"Sebastian Asaro, Contracting Officer, Phone 2122642713, Email sebastian.asaro@gsa.gov",
NOTICE OF INTENT TO AWARD TO SOLE SOURCE CONTRACT,,17,,Department of the Army,ATTN:  MCAA GP L31 9Vr2539 GARDEN AVENUE JBSA FT SAM HOUSTON  TX 78234-0000,US,79920,<SNOTE>,J,811219,0adf8196-8a77-11e7-89d0-1cc1de329608,W81K00-17-P-0635,https://www.fbo.gov/spg/USA/MEDCOM/DADA09/W81K00-17-P-0635/listing.html,U.S. Army Medical Command,REGIONAL HEALTH CONTRACT OFF CENTRAL,78234-0000,082317,0822,Link To Document,"Jose L Del Hierro, Phone 9157422934, Email jose.l.delhierro.civ@mail.mil",N/A
Integrated Solid Waste Management  SITE VISIT,08312017,17,,Department of the Air Force,1940 ALLBROOK DRIVE WRIGHT-PATTERSON AFB OH 45433-5309,US,45433,<SNOTE>,S,562111,0adf8147-8a77-11e7-89d0-1cc1de329608,FA8601-17-R-0026,https://www.fbo.gov/spg/USAF/AFMC/88 CONS/FA8601-17-R-0026/listing.html,Air Force Materiel Command,AFLCMC/PZIO - WPAFB,45433-5309,,0822,Link To Document,"Edward A. Huchison, Phone 9375224605, Email edward.huchison@us.af.mil",N/A
J--Medical Equipment Maintenance    ,09212017,17,Jacquetta.White09@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;VISN 7 Network Contracting Activity;501 Greene Street;Hatcher Building - Suite 2;Augusta GA  30901,,,<SNOTE>,J,811219,0adf8157-8a77-11e7-89d0-1cc1de329608,VA24717R0585,https://www.fbo.gov/spg/VA/AuVAMC/VAMCCO80220/VA24717R0585/listing.html,Augusta VAMC,Department of Veterans Affairs Medical Center,30901,,0822,Jacquetta.White09@va.gov,Jacquetta O WhiteContract Specialist706-733-0188 x1104Jacquetta.White09@va.gov,
USSTRATCOM ESRI Software  Support,09262017,17,,Department of the Air Force,101 Washington Sq Bldg 40 Offutt AFB NE 68113-2107,US,68113-6200,<SNOTE>,R,541511,0adf8141-8a77-11e7-89d0-1cc1de329608,FA4600-17-R-0006,https://www.fbo.gov/spg/USAF/ACC/55CONS/FA4600-17-R-0006/listing.html,Air Combat Command,55 CONS,68113-2107,092117,0822,Link To Document,"wayne manke, Contracting Officer, Phone 402-232-6571, Email wayne.manke@us.af.mil",N/A
BEMIS-MC Bore Erosion Measurement Inspection System,,17,,Department of the Army,ATTN: CCMI-CHD-YPrBldg 2364 r301 C Street Yuma AZ 85365-9498,,,<SNOTE>,59,334515,0adf8155-8a77-11e7-89d0-1cc1de329608,W9124R-17-T-0062,https://www.fbo.gov/notices/ca1065282576000b2e0b1757c8eb5eb2,"Army Contracting Command, MICC",MICC - Yuma Proving Ground,85365-9498,082917,0822,Link To Document,"Melissa Saenz, Phone 928-328-2093, Fax 9282-328-6534, Email melissa.j.saenz.civ@mail.mil",
Millennium ILS SW Maintenance,,17,,Department of the Treasury,"IRS, 1111 Constitution Ave, NW, rC7-NCFBr  Washington DC 20024",,,<SNOTE>,70,334614,0adf8171-8a77-11e7-89d0-1cc1de329608,Q-8-QF-42-SS-S07-000,https://www.fbo.gov/spg/TREAS/IRS/NOPAP/Q-8-QF-42-SS-S07-000/listing.html,Internal Revenue Service (IRS),National Office Procurement (OS:PR:P),20024,090517,0822,Link To Document,"Julio Perdomo, Phone 2406138016, Email julio.perdomo@irs.gov",
78--CACHEXIA FITNESS RESEARCH ITEMS    ,09212017,17,luke.nesse@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;Network Contracting Office 20;5115 NE 82nd Ave, Suite 102;Vancouver WA  98662",,,<SNOTE>,78,339920,0adf819b-8a77-11e7-89d0-1cc1de329608,VA26017Q0658,https://www.fbo.gov/notices/91a4994c611d6877e790a03b26b3f827,VA Northwest Health Network,VA Northwest Health Network,98662,,0822,luke.nesse@va.gov,Luke Nesseluke.nesse@va.gov,
Notice of Intent,,17,,Department of the Air Force,"21st Contracting Squadronr135 Dover Street, Suite 2225 Peterson AFB CO 80914-1055",US,80831,<SNOTE>,71,337215,0adf814c-8a77-11e7-89d0-1cc1de329608,FA2517-17-Q-5063,https://www.fbo.gov/spg/USAF/AFSC/21CONSb365/FA2517-17-Q-5063/listing.html,Air Force Space Command,21CONS (Bldg 350),80914-1055,082417,0822,Link To Document,"Renada L. Cooper, Phone 7195567992, Email renada.cooper@us.af.mil - HILARY SWANSON, CONTRACTING OFFICER, Phone 719-556-4999, Email hilary.swanson@us.af.mil",N/A
RFQ-2017-065 Riverbed SteelHead CX Appliance Support Renewal,10312017,17,,United States Senate,United States Senate Washington DC 20510-7207,US,20510,<SNOTE>,70,334614,0adf818a-8a77-11e7-89d0-1cc1de329608,RFQ-2017-065_Riverbed_SteelHead_CX_Appliance_Support_Renewal,https://www.fbo.gov/spg/Senate/SAA/SAAFD/RFQ-2017-065_Riverbed_SteelHead_CX_Appliance_Support_Renewal/listing.html,Office of the Sergeant at Arms,Finance Division,20510-7207,083017,0822,Link To Document,"Corazon R. Carag, Procurement and Contracting Specialist, Email acquisitions@saa.senate.gov",N/A
Ground Penetrating Radar,,17,,Department of the Navy,4555 Overlook Ave S.W. Washington DC 20375,US,20735,<SNOTE>,66,334513,0adf8187-8a77-11e7-89d0-1cc1de329608,N00173-17-Q-0357,https://www.fbo.gov/spg/DON/ONR/3400/N00173-17-Q-0357/listing.html,Office of Naval Research,Naval Research Laboratory/Supply,20375,090517,0822,Link To Document,"CRYSTAL M BLUE, Phone 2027671681, Email crystal.blue@nrl.navy.mil - Jean Copes, Contracting Officer , Phone 202-404-1714, Fax 202-767-0685, Email jean.copes@nrl.navy.mil",N/A
"NAVSEA Approved Fiber Optic Training in support of NSSF at Naval Submarine Base Groton, CT ",09292017,17,,Department of the Navy,"N00189 NAVSUP Fleet Logistics Center Norfolk Groton Office Box 500 Bldg. 84/2 Subase NLON Groton, CT",,,<SNOTE>,,611519,0adf8183-8a77-11e7-89d0-1cc1de329608,N0018917TG043,https://www.fbo.gov/spg/DON/NAVSUP/2404/N0018917TG043/listing.html,Naval Supply Systems Command,NAVSUP Fleet Logistics Center Norfolk Groton Office,06349,,0104,Link To Document,,
SPE5EN13R0005D,08302017,17,,Defense Logistics Agency,700 Robbins Avenue Philadelphia PA 19111-5096,,,<SNOTE>,53,339991,0adf8167-8a77-11e7-89d0-1cc1de329608,SPE5EN13R0005,https://www.fbo.gov/notices/a58f07ee8425f87a6e381a591cdf31f0,DLA Acquisition Locations,DLA Troop Support - Industrial Hardware,19111-5096,082917,0822,Link To Document,"Rachel Johnston, Phone 2157374408, Email Rachel.Johnston@dla.mil",
"Black Hawk Exchange and Sales Team (BEST) Program H-60 Sales Announcement - Aircraft, EH-60A Black Hawk, Tail Numbers 85-24469  86-24566  87-24664",,17,,Department of the Army,SPARKMAN CIR BLDG 5303 Redstone Arsenal AL 35898-0000,,,<SNOTE>,15,336411,0adf8152-8a77-11e7-89d0-1cc1de329608,W58RGZ-17-R-1011,https://www.fbo.gov/notices/082a8b0717738e5bdeb811f542db63be,Army Contracting Command,ACC - RSA (W58RGZ) Aviation,35898-0000,082817,0822,Link To Document,"Bennett Hlavac, Phone 2563135584, Email bennett.j.hlavac.civ@mail.mil - Kim Ledbetter, Phone 2568761587, Email kimberly.g.ledbetter.ctr@mail.mil",
Tabletop Microscope,,17,,Department of Agriculture,,US,20705 ,<SNOTE>,66,334516,0adf813f-8a77-11e7-89d0-1cc1de329608,AG-32SC-17-875182,https://www.fbo.gov/notices/045623c93d8c0fcbc9e3c32d1f683b0a,Agricultural Research Service,Eastern Business Service Center,,082917,0822,Link To Document,"Jenny Matte, Email jenny.matte@ars.usda.gov",Total Small Business
Notice of Intent to Award Sole Source,,17,,Department of the Navy,Contracts Department (N5)r1002 Balch Blvd. Stennis Space Center MS 39522-5001,,,<SNOTE>,70,334118,0adf8164-8a77-11e7-89d0-1cc1de329608,N6230617PR149NV,https://www.fbo.gov/notices/a21cfa6e004cce76e5316fd8278e02b7,"Commander in Chief, Atlantic Fleet",Naval Oceanographic Office (NAVOCEANO),39522-5001,082817,0822,Link To Document,"Lisa K. Brown, Contract Specialist, Phone 228-688-5773, Fax 228-688-4121, Email lisa.k.brown1@navy.mil",
Tube Assembly,,17,,Department of Homeland Security,2703 MARTIN LUTHER KING JR AVE SErSTOP 7828 Washington DC 20593-7828,IT,,<SNOTE>,16,336413,0adf8197-8a77-11e7-89d0-1cc1de329608,HSCG23-17-Q-N50261,https://www.fbo.gov/spg/DHS/USCG/GACS/HSCG23-17-Q-N50261/listing.html,United States Coast Guard (USCG),"Commandant (CG-912), U.S. Coast Guard Headquarters",20593-7828,090817,0822,Link To Document,"Melony Y. Suber, Contract Specialist, Phone 2024753323, Email melony.y.suber@uscg.mil",N/A
R--Notice of intent to sole source Atlas Railcar Design Project Phases 4 and 5,,17,,Department of Energy,Idaho OperationsU.S. Department of EnergyIdaho Operations1955 Fremont AvenueIdaho FallsID83415US,,,<SNOTE>,R,541712,0adf816c-8a77-11e7-89d0-1cc1de329608,DE-SOL-0011184,https://www.fbo.gov/spg/DOE/PAM/HQ/DE-SOL-0011184/listing.html,Federal Locations,All DOE Federal Contracting Offices,83415,,0822,Link To Document,"Bluth, Trevor M.",
Telos Automated Messaging,,17,,Department of Justice,None Washington DC 20537,,,<SNOTE>,D,541519,0adf8168-8a77-11e7-89d0-1cc1de329608,D-17-SI-0199,https://www.fbo.gov/spg/DOJ/DEA/OAM/D-17-SI-0199/listing.html,Drug Enforcement Administration,Office of Acquisition Management,20537,082517,0822,Link To Document,"Frank C. Giguere, Phone 2023077987, Email Frank.C.Giguere@usdoj.gov",
"SY-4100 MISEQ SYSTEM INTEGRATED SYSTEM FOR AUTOMATED GENERATION OF DNA CLONAL CLUSTER BY BRIDGE AMPLICATION, SEQUENCING, PRIMARY AND SECONDARY ANALYSIS.",,17,,Department of the Navy,"503 Robert Grant Ave.rContracting Dept, Bldg 500 Silver Spring MD 20910",US,20852,<SNOTE>,66,334516,0adf815f-8a77-11e7-89d0-1cc1de329608,N3239817QA041,https://www.fbo.gov/notices/9ec8c66680794d789d02785cce67fd78,Bureau of Medicine and Surgery,Naval Medical Research Center,20910,090417,0822,Link To Document,"Edilberto P. Calma, Phone 3013196481, Email edilberto.p.calma.civ@mail.mil",N/A
L-BAND Amplifier Repair,,17,,Department of the Navy,4555 Overlook Ave S.W. Washington DC 20375,US,20670,<SNOTE>,J,541330,0adf8186-8a77-11e7-89d0-1cc1de329608,N00173-17-Q-0385,https://www.fbo.gov/spg/DON/ONR/3400/N00173-17-Q-0385/listing.html,Office of Naval Research,Naval Research Laboratory/Supply,20375,090517,0822,Link To Document,"CRYSTAL M BLUE, Phone 2027671681, Email crystal.blue@nrl.navy.mil - Jean Copes, Contracting Officer , Phone 202-404-1714, Fax 202-767-0685, Email jean.copes@nrl.navy.mil",N/A
Kelp Conservation and Restoration Plan,09062017,17,,Department of Commerce,325 Broadway - MC3 Boulder CO 80305-3328,US,98225,<SNOTE>,B,813312,0adf817c-8a77-11e7-89d0-1cc1de329608,NFFP5000-17-02770CE,https://www.fbo.gov/spg/DOC/NOAA/MASC/NFFP5000-17-02770CE/listing.html,National Oceanic and Atmospheric Administration (NOAA),Western Acquisition Division - Boulder,80305-3328,090517,0822,Link To Document,"Clifford C. Edwards, Phone 3034976335, Fax 303497, Email clifford.c.edwards@noaa.gov",N/A
"Biomedical Laboratory Technical Services at Tripler Army Medical Center (TAMC), HI",,17,,Department of the Army,BLDG 1 KANSAS ST Natick MA 01760-5011,US,96859,<SNOTE>,Q,541711,0adf814f-8a77-11e7-89d0-1cc1de329608,W911QY-17-T-0024,https://www.fbo.gov/notices/8858ecd19490835ff08ca4578f5b2361,Army Contracting Command,ACC - APG (W911QY) Natick (SPS),01760-5011,090617,0822,Link To Document,"Lee A. Hess, Contracting Officer, Phone 3016198532, Email lee.a.hess.civ@mail.mil",N/A
RT-1830 UHF SUPPORT PLAN,,17,,Department of the Navy,"N00604 NAVSUP Fleet Logistics Center Pearl 1942 Gaffney Street, Ste 100 Bldg. 475-2, Code 200 Pearl Harbor, HI",,,<SNOTE>,,541511,0adf8184-8a77-11e7-89d0-1cc1de329608,N0060417Q4077,https://www.fbo.gov/spg/DON/NAVSUP/N00604/N0060417Q4077/listing.html,Naval Supply Systems Command,NAVSUP Fleet Logistics Center Pearl,96860,,0822,Link To Document,,
Intent to Award Sole Source: Eureqa License Renewal,09112017,17,,Department of the Air Force,2275 D Street Wright-Patterson AFB OH 45433-7218,US,45433,<SNOTE>,70,511210,0adf8146-8a77-11e7-89d0-1cc1de329608,F4FBCT7209A102,https://www.fbo.gov/spg/USAF/AFMC/ASC/F4FBCT7209A102/listing.html,Air Force Materiel Command,"AFLCMC/PK - WPAFB (includes  PZ, WL, WW, WI, WN, WK, LP, WF, WK)",45433-7218,082917,0822,Link To Document,"Elizabeth C. McNutt, Phone 9376567514, Email elizabeth.mcnutt@us.af.mil",N/A
Small Business Industry Day-H53E Sustainment Support Project,,17,,Defense Logistics Agency,8000 Jefferson Davis Highway Richmond VA 23297-5000,,,<SNOTE>,16,336413,0adf8165-8a77-11e7-89d0-1cc1de329608,SPE4A2-17-R-0032,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A2-17-R-0032/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297-5000,101817,0822,Link To Document,"Ryan M Sommer, Phone 8042795274, Email Ryan.Sommer@dla.mil",
Notice of Intent to Award Sole Source Contract - High Speed Data Loggers,09062017,17,jeannie.johnson2@navy.mil,Department of the Navy,"53560 Hull Street Bldg A33 Rm 1602W, San Diego CA 92152-5001",,,<SNOTE>,,,0adf8190-8a77-11e7-89d0-1cc1de329608,N66001_SNOTE_000E94EE,https://www.fbo.gov/notices/a4c604e14f5c6313ff56dde84fae303f,Space and Naval Warfare Systems Command,SPAWAR Systems Center Pacific,92152,,0822,Contract Specialist,Contract Specialist,
65--PROS-STOCK-662-17-4-590-4079-SF medtronic    ,08272017,17,lelani.basuel@va.gov,Department of Veterans Affairs,"SF VA  Medical Center;4150 Clement Street;San Francisco, CA 94121-1545",,,<SNOTE>,65,339113,0adf818e-8a77-11e7-89d0-1cc1de329608,,https://www.fbo.gov/notices/02531cc8b9c9d243000fcee73df87993,San Francisco VAMC,Department of Veterans Affairs Medical Center,94121,,0822,lelani.basuel@va.gov,Lelani Basuellelani.basuel@va.gov,
Introduction,08312017,17,,Department of the Interior,USGS OAG RESTON ACQUISITION BRANCH205 NATIONAL CENTER12201 SUNRISE VALLEY DRIVERESTONVA20192US,,,<SNOTE>,66,334513,0adf8192-8a77-11e7-89d0-1cc1de329608,G17PS00932,https://www.fbo.gov/spg/DOI/USGS/USGS/G17PS00932/listing.html,U. S. Geological Survey,USGS - All Offices,20192,,0822,Link To Document,"Jones, Lane",
"MIL-DTL-XX688, Sodium Phosphate, Tribasic; Anhydrous, Dodecahydrate, and Monohydrate, Technical",,17,,Department of the Navy,SEA 02r1333 Isaac Hull Avenue SE Washington Navy Yard DC 20376,,,<SNOTE>,68,325180,0adf8182-8a77-11e7-89d0-1cc1de329608,N0002417SN029,https://www.fbo.gov/spg/DON/NAVSEA/NAVSEAHQ/N0002417SN029/listing.html,Naval Sea Systems Command,NAVSEA HQ,20376,092017,0822,Link To Document,"Tiffany Williams, Phone 2027814372, Email tiffiany.s.williams2ctr@navy.mil",
U--HIMSS Organization Affiliation Renewal Intent to Sole Source   ,09212017,17,andrew.allen6@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;Program Contracting Activity Central;6150 Oak Tree Blvd, Suite 300;Independence OH  44131",,,<SNOTE>,U,813920,0adf819d-8a77-11e7-89d0-1cc1de329608,VA70117N0218,https://www.fbo.gov/spg/VA/ISC/OISC/VA70117N0218/listing.html,VA Office of Information Service Center,Department of Veterans Affairs Office of Information Service Center,44131,,0822,andrew.allen6@va.gov,Andrew Allenandrew.allen6@va.gov216-447-8300andrew.allen6@va.gov,
65--761-17-4-014-0275 | SDVOSB | MED SURG | 1LI | CATH SET | ASE  AWARD NOTICE  ,10212017,17,teague.ruffo@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;National CMOP;3450 S. 4th St. Trafficway;Leavenworth KS  66048-5581,,,<SNOTE>,65,325413,0adf819a-8a77-11e7-89d0-1cc1de329608,VA77017Q0452,https://www.fbo.gov/notices/21dd1ad15d1bc82542222539cbbb65a9,VA National Consolidated Mail Outpatient ,VA National Consolidated Mail Out Pharmacy,66048-5581,,0822,Contract Specialist,Teague RuffoContract Specialist,
Full Spectrum Resolution Fast Radiative Transfer Modules,,17,,Department of Commerce,SSMC2 11th Floorr1325 East West Highway Silver Spring MD 20910,US,20740,<SNOTE>,99,541690,0adf817b-8a77-11e7-89d0-1cc1de329608,NEED2000-17-01355,https://www.fbo.gov/notices/c658ac59db8fbcee75853109a5adf366,National Oceanic and Atmospheric Administration (NOAA),Satellite  Information Acquisition Division,20910,090617,0822,Link To Document,"Amy E Sanders-White, Phone 301-713-3405 x202, Fax 301-713-1024, Email amy.sanderswhite@noaa.gov",N/A
Repair TDM-D8 Dual ANA I/O PWBs,,17,,Department of the Air Force,9 Eglin Street Hanscom AFB MA 01731,,,<SNOTE>,J,811219,0adf8143-8a77-11e7-89d0-1cc1de329608,FA8307-17-R-0198,https://www.fbo.gov/spg/USAF/AFMC/ESC/FA8307-17-R-0198/listing.html,Air Force Materiel Command,AFLCMC - Hanscom,01731,082917,0822,Link To Document,"Nancy A Kerr, Contract Specialist, Phone 210-977-5396, Email nancy.kerr.1@us.af.mil - Christina L. Barr, Contracting Officer, Phone 2109775485, Email christina.barr.2@us.af.mil",
Notice of Intent to Award to Sole Source,,17,,Department of the Air Force,"639 Atlantic Street Dover AFB, DE 19902-5639",US,19902,<SNOTE>,58,334310,0adf814d-8a77-11e7-89d0-1cc1de329608,FA4497-17-T-AlertIII,https://www.fbo.gov/spg/USAF/AMC/436CONS/FA4497-17-T-AlertIII/listing.html,Air Mobility Command,436th CONS,19902-5639,090117,0822,Link To Document,"Phillip Nguyen, Phone 3026775234, Email phillip.nguyen.2@us.af.mil - Talaya Jones, Contracting Officer, Phone 3026775258, Fax 302-677-2905, Email talaya.jones.2@us.af.mil",N/A
"Enterprise Content Development Capability (ECDC), which entails software upgrade/software versioning, and 400 licenses for maintenance of distributed learning (DL) content assets, to include templates, assessments graphics, text, animation, simulations, g",09222017,17,,Department of the Army,Building 705rWashington Blvd Fort Eustis VA 23604-5538,,,<SNOTE>,D,511210,0adf8153-8a77-11e7-89d0-1cc1de329608,W911S0-17-S-0822,https://www.fbo.gov/notices/30c1810195ebec5aa46b88184d6709bc,"Army Contracting Command, MICC",MICC - Fort Eustis (Joint Base Langley-Eustis),23604-5538,092117,0822,Link To Document,"Latasha Chatman, Phone 7575018647, Email latasha.n.chatman.civ@mail.mil - Patricia Paige, Phone 7575017238, Email patricia.d.paige.civ@mail.mil",
U--Notice of Intent: VA Research Study    ,10212017,17,Roman.Savino@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;Network Contracting Office (NCO) 10;6150 Oak Tree Blvd., Suite 300;Independence OH  44131",,,<SNOTE>,U,611310,0adf8158-8a77-11e7-89d0-1cc1de329608,VA25017N1095,https://www.fbo.gov/spg/VA/BreVAMC/VAMCCO80220/VA25017N1095/listing.html,Brecksville (Cleveland) VAMC,Department of Veterans Affairs Medical Center,44131,,0822,Notice of Intent,Roman SavinoContracting SpecialistNotice of Intent,
65--PROS-07202017-419018-FRabove-knee prosthesis - active 1 - PO 570-7S7857 above-knee prosthesis quad socket with flexible inner with orion (microprocessor knee) with suction suspensin and hydraulic ankle (endolite eschoin) ,09012017,17,francis.cattuzzo-andersen@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;VA Sierra Pacific Network (VISN 21);VA Central California Health Care System;855 M Street, Suite 1020;Fresno CA  93721",,,<SNOTE>,65,339113,0adf816e-8a77-11e7-89d0-1cc1de329608,VA26117P2818,https://www.fbo.gov/spg/VA/FrVAMC570/FrVAMC570/VA26117P2818/listing.html,Fresno VAMC,Department of Veterans Affairs Central California Health Care System,93721,,0822,Francis.Cattuzzo-Andersen@va.gov,Francis M Cattuzzo-AndersenContracting Officer559-241-3659Francis.Cattuzzo-Andersen@va.gov,
Repair Communication Modules,,17,,Department of the Air Force,9 Eglin Street Hanscom AFB MA 01731,,,<SNOTE>,J,811213,0adf8145-8a77-11e7-89d0-1cc1de329608,FA8307-17-R-0163,https://www.fbo.gov/spg/USAF/AFMC/ESC/FA8307-17-R-0163/listing.html,Air Force Materiel Command,AFLCMC - Hanscom,01731,082917,0822,Link To Document,"Nancy A Kerr, Contract Specialist, Phone 210-977-5396, Email nancy.kerr.1@us.af.mil - Christina L. Barr, Contracting Officer, Phone 2109775485, Email christina.barr.2@us.af.mil",
Information Technology  Financial Management Support Services (ITFMSS 2),09082017,17,,Department of the Treasury,"IRS, 1111 Constitution Ave, NW, rC7-NCFBr  Washington DC 20024",US,20706,<SNOTE>,D,541519,0adf8172-8a77-11e7-89d0-1cc1de329608,ITFMSS,https://www.fbo.gov/spg/TREAS/IRS/NOPAP/ITFMSS/listing.html,Internal Revenue Service (IRS),National Office Procurement (OS:PR:P),20024,090517,0822,Link To Document,"Erik Stephenson, Contracting Officer, Phone 2406135548, Email erik.stephenson@irs.gov - Robert L Bell, Contracting Officer, Phone 2406137433, Email Robert.L.Bell@irs.gov",Total Small Business
Q--Solicitation Endotoxin and Water Culture Testing    ,09212017,17,karen.williams13@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Network Contracting Office 9;1639 Medical Center Parkway;Suite 400;Murfreesboro TN  37129,,,<SNOTE>,Q,621511,0adf8175-8a77-11e7-89d0-1cc1de329608,VA24917Q0935,https://www.fbo.gov/spg/VA/NaVAMC/VAMCCO80220/VA24917Q0935/listing.html,Nashville VAMC,Department of Veterans Affairs Medical Center,37129,,0822,karen.williams13@va.gov,Karen L. Williamskaren.williams13@va.govkaren.williams13@va.gov,
"58--PIT TAGS, ANTENNAS, AND RELATED EQUIPMENT",09302017,17,,Department of the Interior,"Bureau of ReclamationUpper Colorado RegionRegional Office125 South State Street, Room 8100Salt Lake CityUT84138US",,,<SNOTE>,58,334511,0adf8161-8a77-11e7-89d0-1cc1de329608,R17PS01486,https://www.fbo.gov/notices/dc0b8435bf89cf777be9f6abe089c2b2,Bureau of Reclamation,BOR - All Offices,84138,,0822,Link To Document,"Clark, Brandi",
Procurement for Educational Support Services,,17,,Department of Health and Human Services,National Institutes of HealthNational Human Genome InstituteN/AN/AN/ABethesdaMD20892-7511,,,<SNOTE>,U,611710,0adf8178-8a77-11e7-89d0-1cc1de329608,HHSN26817HG00028S,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26817HG00028S/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,,0822,Link To Document,"Swift, Jennifer E.",
