<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
LAD- Supplies,,17,,Department of Justice,"99 New York Avenue, NE3rd Floor - Acquisitions Washington DC 20226",US,20705,<AMDCSS>,49,339999,0bb800b2-8a77-11e7-89d0-1cc1de329608,DJA-17-ALAD-PR-1110,https://www.fbo.gov/spg/DOJ/BATF/APMD/DJA-17-ALAD-PR-1110/listing.html,"Bureau of Alcohol, Tobacco and Firearms (ATF)",Administrative Programs Division (APD),20226,082817,Link To Document,COMBINE  ,0822,"Brandon Hodnett, Phone 2026487612, Email Brandon.Hodnett@atf.gov",Total Small Business
39--3990- Rigging and Lifting Procurement of Weight and Material Handling Equipment for NAVSUP FLC Pearl Harbor Ocean Terminals Department,09272017,17,,Department of the Navy,"N00604 NAVSUP Fleet Logistics Center Pearl 1942 Gaffney Street, Ste 100 Bldg. 475-2, Code 200 Pearl Harbor, HI",,,<AMDCSS>,39,333923,0bb80147-8a77-11e7-89d0-1cc1de329608,N0060417Q4048,https://www.fbo.gov/spg/DON/NAVSUP/N00604/N0060417Q4048/listing.html,Naval Supply Systems Command,NAVSUP Fleet Logistics Center Pearl,96860,091217,Link To Document,COMBINE  ,0822,Kevin Young 8084737528,
59--ADMACS Cables  Adapters,03052018,17,,Department of the Navy,"Hwy. 547 Attn:B562-3C, Lakehurst, NJ 08733",US,08733,<AMDCSS>,59,,0bb80138-8a77-11e7-89d0-1cc1de329608,N68335-17-Q-0215,https://www.fbo.gov/spg/DON/NAVAIR/N68335/N68335-17-Q-0215/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Lakehurst,22030,090617,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Maintain Automatic Doors at Eglin AFB,,17,,Department of the Air Force,308 West D. AverBldg 260rSuite 130 Eglin AFB FL 32542-5418,US,32542,<AMDCSS>,J,238290,0bb8008d-8a77-11e7-89d0-1cc1de329608,FA2823-17-R-4025,https://www.fbo.gov/notices/51aa4cbf8b02f2b80056cf040421a263,Air Force Materiel Command,AFTC/PZIO - Eglin,32542-5418,082317,Link To Document,COMBINE  ,0822,"VICTORIA G. THOMAS , Contract Specialist , Phone (850) 883-7454, Email victoria.thomas.6@us.af.mil - CARRIE W EASTBURN, Contracting Officer, Phone (850) 882-0245, Email carrie.eastburn@us.af.mil",Total Small Business
Multiple-Outlet Switching Power Supplies,,17,,Department of the Navy,Simonpietri Drive Newport RI 02841-1708,,,<AMDCSS>,59,335999,0bb8013f-8a77-11e7-89d0-1cc1de329608,N66604-17-Q-3179,https://www.fbo.gov/spg/DON/NAVSEA/N66604/N66604-17-Q-3179/listing.html,Naval Sea Systems Command,NUWC Newport Division,02841-1708,083117,Link To Document,COMBINE  ,0822,"Danielle Ventura, Email Danielle.L.Ventura1@navy.mil",
USDA Fayette County Service Center,,17,,Department of Agriculture,5981 Lakeside Boulevard Indianapolis IN 46278,US,47331,<AMDCSS>,X,531120,0bb800d4-8a77-11e7-89d0-1cc1de329608,18-041-17,https://www.fbo.gov/spg/USDA/FSA/IN062001/18-041-17/listing.html,Farm Service Agency,Indiana State Office,46278,090817,Link To Document,COMBINE  ,0822,"Michael Sedgebeer, Real Property Leasing Officer, Phone 3172955908, Email michael.sedgebeer@in.usda.gov",N/A
Antenna Overhaul,,17,,Department of the Army,11 HAP ARNOLD BLVD TOBYHANNA ARMY DEPOT  PA 18466-5107,,,<AMDCSS>,J,811213,0bb8009c-8a77-11e7-89d0-1cc1de329608,17T0435,https://www.fbo.gov/notices/b2175fc432e447efec78ab16d7f8da2c,Army Contracting Command,ACC - APG (W25G1V) Tobyhanna,18466-5107,082917,Link To Document,COMBINE  ,0822,"Kenneth D. Schoenberger, Phone 5706157871, Email kenneth.d.schoenberger.civ@mail.mil",
Waste Water Pumping - State of North Dakota,,17,,Department of the Army,1108 South R Street Fort McCoy WI 54656-5142,US,,<AMDCSS>,J,562211,0bb800ae-8a77-11e7-89d0-1cc1de329608,W911SA-17-Q-0107,https://www.fbo.gov/notices/63a54407869662cbdda4fee4b9583308,"Army Contracting Command, MICC",MICC - Fort McCoy (W911SA),54656-5142,080417,Link To Document,COMBINE  ,0803,"Katie Opper, Contract Specialist, Phone 6083885535, Email katie.j.opper.civ@mail.mil",Total Small Business
NDI-Xrays and accessories,,17,,Department of the Air Force,,IT,33081,<AMDCSS>,17,334517,0bb80177-8a77-11e7-89d0-1cc1de329608,FA5682-17-Q-5021,https://www.fbo.gov/notices/30698eab6b152978a13f4037d385b461,US Air Force Europe,31 CONS,N/A,082517,Link To Document,COMBINE  ,0822,"Jessica Cuccagna, Phone +39-0434-307138, Email jessica.cuccagna.it@us.af.mil - Derrick Foote, Contracting Officer, Phone +390434308040, Email derrick.foote@us.af.mil",N/A
Continued Medical Education,,17,,Department of the Navy,54 Lewis Minor St Portsmouth VA 23708-2297,US,23708,<AMDCSS>,U,519190,0bb800bd-8a77-11e7-89d0-1cc1de329608,N0018317Q0174,https://www.fbo.gov/spg/DON/BUMED/N00183/N0018317Q0174/listing.html,Bureau of Medicine and Surgery,Naval Medical Center Portsmouth,23708-2297,082717,Link To Document,COMBINE  ,0822,"Harold D Woodley, Phone 757-953-7276, Fax 757-953-5739, Email harold.d.woodley.civ@mail.mil - Curtis Price, Jr., Contract Specialist, Phone 757-953-7570, Fax 757-953-5006, Email curtis.c.price2.civ@mail.mil",N/A
ISO 9001:2015,,17,,Other Defense Agencies,Attn: OCSW Mail Stop L-13r3838 Vogel Road Arnold MO 63010-6238,,,<AMDCSS>,R,541611,0bb80118-8a77-11e7-89d0-1cc1de329608,HM157514R0016,https://www.fbo.gov/spg/ODA/NIMA/PCSL-13/HM157514R0016/listing.html,National Geospatial-Intelligence Agency,OCSW - GEOINT/Enterprise Operations,63010-6238,083017,Link To Document,COMBINE  ,0822,"Kelsey Linnemann, Phone (314) 676-0201, Fax (314) 676-3010, Email kelsey.r.linnemann@nga.mil - Yolanda Bent, Phone (314) 676-0178, Fax (314) 676-3010, Email yolanda.v.bent@nga.mil",
Procurement of a Diamond Anvil Cell,,17,,Department of Commerce,"100 Bureau Drive, Building 301rRoom B130 Gaithersburg MD 20899-1410",,,<AMDCSS>,66,334516,0bb80125-8a77-11e7-89d0-1cc1de329608,SB134117RQ0805,https://www.fbo.gov/spg/DOC/NIST/AcAsD/SB134117RQ0805/listing.html,National Institute of Standards and Technology (NIST),Acquisition Management Division,20899-1410,082517,Link To Document,COMBINE  ,0822,"Erik Frycklund, Phone 3019756176, Email erik.frycklund@nist.gov",
13--New Contract-  LETC 9MM Ammunition    ,09072017,17,Allen.Smith3@va.gov,Department of Veterans Affairs,"Strategic Acquisition Center - Frederick;Department of Veterans Affairs;321 Ballenger Center Drive, Suite 125;Frederick MD  21703",,,<AMDCSS>,13,332994,0bb80181-8a77-11e7-89d0-1cc1de329608,VA119A17Q0359,https://www.fbo.gov/spg/VA/AFMLOVASS/VASSMD/VA119A17Q0359/listing.html,VA Strategic Acquisition Center (Frederick),VA Strategic Acquisition Center (Frederick),21703,082817,Allen.Smith3@va.gov,COMBINE  ,0822,Kevin Hurst (kevin.hurst2@va.gov)Allen Smith (allen.smith3@va.gov)Allen.Smith3@va.gov,
23--Light Engineer Utility Trailer (LEUT),02212018,17,,Department of the Army,"2823 West Main Street, Rapid City, SD 57702",US,57702-8170,<AMDCSS>,23,,0bb800e9-8a77-11e7-89d0-1cc1de329608,W5BM1Z71669001,https://www.fbo.gov/notices/e3403123389c0cd0452147e449ca99c8,FedBid,FedBid.com -- for Department of Army procurements only,22030,082517,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
SMALL BUSINESS SET-ASIDE FOR One (1) Sulfur Hexafluoride Liquefaction System and Storage,,17,,Department of the Army,2800 POWDER MILL RD ADELPHI  MD 20783-1197,US,21045,<AMDCSS>,66,334516,0bb800a0-8a77-11e7-89d0-1cc1de329608,W911QX-17-T-0210,https://www.fbo.gov/notices/018515c21317f09e60b27321c9433fab,Army Contracting Command,ACC - APG (W911QX) Adelphi ,20783-1197,082917,Link To Document,COMBINE  ,0822,"Jamie N White, Conteract Specialist, Phone 3013941615, Email jamie.n.white2.civ@mail.mil",N/A
49--Part Washer,02212018,17,,Department of the Army,"5920 S.E. COYOTE DR., Forbes Field ANG, KS 66619",US,66442,<AMDCSS>,49,,0bb800e8-8a77-11e7-89d0-1cc1de329608,W912JC-17-T-5718,https://www.fbo.gov/notices/1504456a7d5be1b12cdfe0aefb03839e,FedBid,FedBid.com -- for Department of Army procurements only,22030,082517,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
R--Records Scanning Project,02192018,17,,Department of the Army,"15000 HWY 115, Little Falls, MN 56345",-,-,<AMDCSS>,R,,0bb800e6-8a77-11e7-89d0-1cc1de329608,W912LM-17-T-0069-0001,https://www.fbo.gov/notices/e28419c7eab7071d4b996d6ad3924a79,FedBid,FedBid.com -- for Department of Army procurements only,22030,082317,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
71--Office furniture,02252018,17,,Department of the Army,"1614 Randolph Road, Room 215, Fort Sill, OK 73503",US,73503,<AMDCSS>,71,,0bb800df-8a77-11e7-89d0-1cc1de329608,SILL2-6ADARSS0003,https://www.fbo.gov/notices/65c6fc1b6f705d5497db329c2057f41e,FedBid,FedBid.com -- for Department of Army procurements only,22030,082917,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
72--Carpet Installation,02202018,17,,Department of the Interior,"12220 Sunrise Valley Drive, Reston, VA 20191",US,20240,<AMDCSS>,72,,0bb800b5-8a77-11e7-89d0-1cc1de329608,A17PS00797,https://www.fbo.gov/spg/DOI/BIA/RestonVA/A17PS00797/listing.html,Bureau of Indian Affairs,BIA - DAPM,22030,082417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Service-Disabled Veteran-Owned Small Business
12--Nightforce Competition SR Scopes,02202018,17,,Department of the Army,"Bldg 6 RM 250 Meloy Hall, Fort Benning, GA 31905",US,31905,<AMDCSS>,12,,0bb800f3-8a77-11e7-89d0-1cc1de329608,0011058646,https://www.fbo.gov/notices/d00e2fe6a64b7b35bbbff52d5dd0f4a6,FedBid,FedBid.com -- for Department of Army procurements only,22030,082417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Woman Owned Small Business
78--Fitness Equipment,02272018,17,,Department of the Army,"1614 Randolph Road, Room 215, Fort Sill, OK 73503",US,73503,<AMDCSS>,78,,0bb800e0-8a77-11e7-89d0-1cc1de329608,SILL2-6ADARSS0002,https://www.fbo.gov/notices/24bb048df42a39155b4e13324f575781,FedBid,FedBid.com -- for Department of Army procurements only,22030,083117,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
99--Ground Support Equipment ,02202018,17,,Department of the Army,"4039 Stark Road, Dugway, UT 84022",US,84022,<AMDCSS>,99,,0bb800f6-8a77-11e7-89d0-1cc1de329608,DPG-RIAC-JG-0005,https://www.fbo.gov/notices/134c00f225bf98b191c254f89c6c394d,FedBid,FedBid.com -- for Department of Army procurements only,22030,082417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
"J--OPTION - Elevator, Dumbwaiter and Handicap Lift Services",02242018,17,,Department of the Army,"Fort Belvoir, Alexandria, VA 22312",Not Defined,null,<AMDCSS>,J,,0bb800ee-8a77-11e7-89d0-1cc1de329608,W91QV1-17-R-0108,https://www.fbo.gov/notices/4849e192b8d180b2219741469ab1b1cd,FedBid,FedBid.com -- for Department of Army procurements only,22030,082817,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Mutiple Award Indefinite Delivery Indefinite Quantity (MAIDIQ) CONTRACTS,,17,,Department of the Army,"Bldg 2174, 131/2  Indiana St Fort Campbell KY 42223-1100",US,42223,<AMDCSS>,Z,236220,0bb800aa-8a77-11e7-89d0-1cc1de329608,W91248-17-R-0001,https://www.fbo.gov/notices/73da04aabd5ac444037a2210193eafcf,"Army Contracting Command, MICC",MICC - Fort Campbell,42223-1100,091517,Link To Document,COMBINE  ,0822,"SaLonda M. Ozier, Phone 2707987825, Email salonda.m.ozier.civ@mail.mil",HUBZone
38--Snow Plow Supply install,02192018,17,,Department of the Interior,"1113 W. Aurora Rd., Sagamorehills , OH 44067",US,46304,<AMDCSS>,38,,0bb8012e-8a77-11e7-89d0-1cc1de329608,P17PS02559,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02559/listing.html,National Park Service,NPS - All Offices,22030,082317,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
"J--Repair of 1 EA, NSN 1680 012845122, Part NR 70450-21943-155, used on the F/A-18 Aircraft",10062017,17,,Department of the Navy,"N00383 NAVSUP Weapon Systems Support Philadelphia PA NAVSUP  700 Robins Avenue  Philadelphia, PA",,,<AMDCSS>,J,336413,0bb80149-8a77-11e7-89d0-1cc1de329608,N0038317Q030H,https://www.fbo.gov/spg/DON/NAVSUP/N00383/N0038317Q030H/listing.html,Naval Supply Systems Command,NAVSUP Weapon Systems Support Philadelphia PA,19111,092217,Link To Document,COMBINE  ,0822,Hannah Corneh 2156971132,
COG 3.24 Amendment 0002,,17,,Defense Logistics Agency,8725 John J. Kingman Road Fort Belvoir VA 22060-6222,US,,<AMDCSS>,91,324110,0bb800ce-8a77-11e7-89d0-1cc1de329608,SPE600-17-R-0218,https://www.fbo.gov/spg/DLA/J3/DESC/SPE600-17-R-0218/listing.html,DLA Acquisition Locations,DLA Energy,22060-6222,091217,Link To Document,COMBINE  ,0822,"JoAn Sheehan, Contract Specialist, Phone 7037679522, Fax (703) 767-8506, Email joan.sheehan@dla.mil - Juebiline Mbandi, Contract Specialist, Phone 7037678580, Fax (703) 767-8506, Email juebiline.mbandi@dla.mil",N/A
A--Pressure Regulator Component Valve,,17,,National Aeronautics and Space Administration,"NASA/George C. Marshall Space Flight Center, Office of Procurement Marshall Space Flight Center AL 35812",US,,<AMDCSS>,A,541712,0bb8010f-8a77-11e7-89d0-1cc1de329608,80MSFC17R0013,https://www.fbo.gov/notices/a17967c8a28f37e3c8523596abeb5bb0,Marshall Space Flight Center,Office of Procurement,35812,090117,Link To Document,COMBINE  ,0822,"Kelsey McDonald, Contracting Officer, Phone 2565443514, Email kelsey.mcdonald@nasa.gov - Melinda E Swenson, Contracting Officer, Phone 2565440381, Email melinda.e.swenson@nasa.gov",N/A
65--629-17-3-7224-0478 Dental Operating Instruments   ,09222017,17,rachel.babin@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Southeast Louisiana Veterans HCS;1555 Poydras Street;New Orleans LA  70112,,,<AMDCSS>,65,339114,0bb8014b-8a77-11e7-89d0-1cc1de329608,VA25617Q1291,https://www.fbo.gov/spg/VA/NOrVAMC/VAMCCO80220/VA25617Q1291/listing.html,New Orleans VAMC,Department of Veterans Affairs Medical Center,70112,082317,Rachel.Babin@va.gov,COMBINE  ,0822,Rachel BabinRachel.Babin@va.gov,
Metallographic Grinding/Polishing Machine,,17,,Department of Commerce,"100 Bureau Drive, Building 301rRoom B130 Gaithersburg MD 20899-1410",US,20899,<AMDCSS>,66,334516,0bb80126-8a77-11e7-89d0-1cc1de329608,SB134117RQ0756,https://www.fbo.gov/spg/DOC/NIST/AcAsD/SB134117RQ0756/listing.html,National Institute of Standards and Technology (NIST),Acquisition Management Division,20899-1410,072017,Link To Document,COMBINE  ,0712,"Wendy Paulo, Contracting Officer, Phone 3019753976, Email Wendy.Paulo@nist.gov",Total Small Business
Pole Mounted Transformer Replacement,,17,,Department of the Army,6001 E. MOLLOY ROAD SYRACUSE NY 13211-7099,US,13159,<AMDCSS>,59,335122,0bb8011e-8a77-11e7-89d0-1cc1de329608,W912PQ-17-Q-1759,https://www.fbo.gov/spg/USA/NGB/DAHA30-5/W912PQ-17-Q-1759/listing.html,National Guard Bureau,"174 MSG/MSC, NY ANG",13211-7099,083117,Link To Document,COMBINE  ,0822,"Adam Gagne, Phone 3152332130, Email adam.d.gagne.mil@mail.mil - Ashley A. Pace, Phone 3152332133, Email ashley.a.pace4.mil@mail.mil",Total Small Business
D--Network Diagram  Systems Analysis,09082017,17,,Department of the Interior,"Interior Business Center, AQDDivision 4/ Branch 27301 West Mansfield AveD2940DenverCO80235",,,<AMDCSS>,D,541512,0bb8010c-8a77-11e7-89d0-1cc1de329608,D17PS00821,https://www.fbo.gov/notices/c5b6710091956e74ee6f5cbe2dccde07,Interior Business Center,AQD - Washington D.C.,80235,082417,Link To Document,COMBINE  ,0822,"Vasquez-Marshall, Camelia",
CBETA Halbach Magnet Permanent Magnet Material ,08292017,17,,Department of Energy,PO Box 5000Bldg. No. 355 Upton NY 11973,US,11793,<AMDCSS>,66,335999,0bb800b1-8a77-11e7-89d0-1cc1de329608,PB337373,https://www.fbo.gov/spg/DOE/BHL/BNL/PB337373/listing.html,Brookhaven National Laboratory (DOE Contractor),Brookhaven,11973,082817,Link To Document,COMBINE  ,0822,"Philip Bernath, Principle Buyer, Phone 6313443947, Email pbernath@bnl.gov",N/A
A--Main Engine Component Valve,,17,,National Aeronautics and Space Administration,"NASA/George C. Marshall Space Flight Center, Office of Procurement Marshall Space Flight Center AL 35812",US,,<AMDCSS>,A,541712,0bb8010e-8a77-11e7-89d0-1cc1de329608,80MSFC17R0014,https://www.fbo.gov/notices/686ad9d7f6888b037e03f865f33834f8,Marshall Space Flight Center,Office of Procurement,35812,090117,Link To Document,COMBINE  ,0822,"Kelsey McDonald, Contracting Officer, Phone 2565443514, Email kelsey.mcdonald@nasa.gov - Melinda E Swenson, Contracting Officer, Phone 2565440381, Email melinda.e.swenson@nasa.gov",N/A
Portable Spectrometer,,17,,Department of the Treasury,"14th and C Streets, SW, Room 708 E Washington DC 20228",US,20228,<AMDCSS>,66,334516,0bb800b3-8a77-11e7-89d0-1cc1de329608,2031ZA17Q00019,https://www.fbo.gov/notices/408a7b69337e8109dcb041808dd98875,Bureau of Engraving and Printing,Office of Acquisition,20228,090517,Link To Document,COMBINE  ,0822,"Brandon Lee Wilson, Contract Specialist, Phone 202-874-0022, Email Brandon.Wilson@bep.gov - Guillermo Thorne, Contracting Officer, Phone 202-874-1615, Email guillermo.thorne@bep.gov",Total Small Business
53--ADMACS Door Joiners,03062018,17,,Department of the Navy,"Hwy. 547 Attn:B562-3C, Lakehurst, NJ 08733",US,94535,<AMDCSS>,53,,0bb80137-8a77-11e7-89d0-1cc1de329608,N68335-17-Q-0177,https://www.fbo.gov/spg/DON/NAVAIR/N68335/N68335-17-Q-0177/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Lakehurst,22030,090717,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
PII SHREDDER,,17,,Department of the Army,7 FRANKFORD AVE Anniston AL 36201-4199,,,<AMDCSS>,35,333318,0bb800a4-8a77-11e7-89d0-1cc1de329608,W911KF-17-Q-0048,https://www.fbo.gov/notices/a1e519cab92581afcccc95151db73c8d,Army Contracting Command,ACC - WRN (W911KF)(ANAD),36201-4199,090617,Link To Document,COMBINE  ,0822,"Barbara Gunter, Purchasing Agent, Phone 2562403715, Email barbara.b.gunter.civ@mail.mil - Yvonne Land, Chief Contracting Division, Phone 256-235-7124, Email yvonne.s.land.civ@mail.mil",
95--METAL BAR,09092017,17,THOMAS.TREPANIER@DLA.MIL,Department of the Navy,"SPMYM2 DLA Maritime Puget Sound 467 W Street 2nd Floor Bremerton, WA",US,98314,<AMDCSS>,95,331491,0bb80141-8a77-11e7-89d0-1cc1de329608,SPMYM217Q2800,https://www.fbo.gov/notices/ce3ea8f0dd389917e79fce3b7a625e43,Naval Supply Systems Command,DLA Maritime PSNS,98314,082517,THOMAS.TREPANIER@DLA.MIL,COMBINE  ,0822,THOMAS TREPANIER (360) 472-4992 PLEASE DO NOT CALLTHOMAS.TREPANIER@DLA.MIL,N/A
Fire Suppression Inspection Services,,17,,Department of the Air Force,"575 Tuskegee Airmen Blvd, Building 418 Grand Forks AFB ND 58205",US,58205,<AMDCSS>,42,561990,0bb80093-8a77-11e7-89d0-1cc1de329608,FA4659-17-Q-0031,https://www.fbo.gov/spg/USAF/AMC/319CONS/FA4659-17-Q-0031/listing.html,Air Mobility Command,319 CONF,58205,082917,Link To Document,COMBINE  ,0822,"Ernest Trosen, Phone 7017473208, Email ernest.trosen.2@us.af.mil - Jeremiah Snedker, Contracting Officer, Phone 7017472599, Email jeremiah.snedker@us.af.mil",N/A
S--OPTION - Grounds Services at IA014 Dubuque Iowa,02192018,17,,Department of the Army,"1108 South R Street, Fort McCoy, WI 54656",-,-,<AMDCSS>,S,,0bb800fa-8a77-11e7-89d0-1cc1de329608,W911SA-17-Q-3052,https://www.fbo.gov/notices/965b260d50bbd281625160251b729cbb,FedBid,FedBid.com -- for Department of Army procurements only,22030,082317,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Woman Owned Small Business
"MAJOR MR MEDICAL/DENTAL CLINIC AVIATION TRAINING CENTER,",07312018,17,,Department of Homeland Security,15608 SW 117th Avenue Miami FL 33177-1630,US,33608-8322,<AMDCSS>,Z,236220,0bb8016c-8a77-11e7-89d0-1cc1de329608,HSCG82-17-B-PAT002,https://www.fbo.gov/spg/DHS/USCG/USCGCEUM/HSCG82-17-B-PAT002/listing.html,United States Coast Guard (USCG),"Commanding Officer, USCG Civil Engineering Unit Miami",33177-1630,083117,Link To Document,COMBINE  ,0822,"Marvin Bethel, Contract Specialist, Phone 3052786718, Email marvin.c.bethel@uscg.mil - Odalys McGee, Contracting Officer, Phone 305-278-6727, Email Odalys.McGee@uscg.mil",Total Small Business
41--Evaporative Cooler,02252018,17,,Department of the Army,"US Army Yuma Proving Grounds, 201 C street, Yuma, AZ 85365",US,85365,<AMDCSS>,41,,0bb800ff-8a77-11e7-89d0-1cc1de329608,EV001_MS2017,https://www.fbo.gov/notices/2b31cb4c5871b0aaa0718494ac005615,FedBid,FedBid.com -- for Department of Army procurements only,22030,082917,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
"Appliance Delivery and Installation in BLDG 930 Osan, AB",,17,,Department of the Army,Unit #15289 APO 1 96205-5289,,,<AMDCSS>,72,335228,0bb800a7-8a77-11e7-89d0-1cc1de329608,W90VN6-17-T-0064,https://www.fbo.gov/notices/b19e59896a3c7acd4dfa088c817c4af1,"Army Contracting Command, ECC",411TH CSB (W90VN6) RCO OSAN,96205-5289,082717,Link To Document,COMBINE  ,0822,"Wilson Griffin, Phone 3157843260, Email wilson.l.griffin8.mil@mail.mil",
Air Filtration System,,17,,Department of the Air Force,"Unit 5199 Kadena AB, APO Japan AP 96368-5199",,,<AMDCSS>,66,238290,0bb80151-8a77-11e7-89d0-1cc1de329608,FA5270-17-Q-B071,https://www.fbo.gov/spg/USAF/PAF/18CONS/FA5270-17-Q-B071/listing.html,Pacific Air Forces,18 CONS - Kadena,96368-5199,090517,Link To Document,COMBINE  ,0822,"Chad R Walton, Phone 6345019, Email chad.walton@us.af.mil",
Long-Term Telephone Maintenance,,17,,Department of the Navy,"2000 Opelousas Ave, Room 2W4200r New Orleans LA 70114",,,<AMDCSS>,58,811213,0bb80172-8a77-11e7-89d0-1cc1de329608,M67861-17-T-0054,https://www.fbo.gov/spg/DON/USMC/M67861/M67861-17-T-0054/listing.html,United States Marine Corps,Marine Forces Reserve - (MARFORRES),70114,083117,Link To Document,COMBINE  ,0822,"Brenlie A. Wilson, Contract Specialist, Email brenlie.wilson@usmc.mil",
78--High Intensity Interval Training (HIIT) program weight training system ,02192018,17,,Department of the Army,"6600 MELOY DR SUITE 250, Fort Benning, GA 31905",US,31905,<AMDCSS>,78,,0bb800e2-8a77-11e7-89d0-1cc1de329608,W911SF-17-P-HITT,https://www.fbo.gov/notices/ca6fb77a9e4de8307d108d0820a766bf,FedBid,FedBid.com -- for Department of Army procurements only,22030,082317,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
"Install Recreational Concrete Shelter at Chief Joseph Dam (Willow Flats Recreational Area), Bridgeport, WA",,17,,Department of the Army,Attn: CENWS-CTrPO Box 3755 Seattle WA 98124-3755,US,,<AMDCSS>,Y,237990,0bb80165-8a77-11e7-89d0-1cc1de329608,W912DW-17-Q-0115,https://www.fbo.gov/spg/USA/COE/DACA67/W912DW-17-Q-0115/listing.html,U.S. Army Corps of Engineers,"USACE District, Seattle",98124-3755,082917,Link To Document,COMBINE  ,0822,"Elaina Audette, Contract Specialist, Phone 206-316-3168, Fax 206-764-6817, Email elaina.audette@usace.army.mil",Total Small Business
HF NVIS Antenna Installation,,17,,Department of the Army,"3110 MITCHELL STREET, BLDG 500 MADISON WI 53704-2591",US,53704,<AMDCSS>,58,517210,0bb8011b-8a77-11e7-89d0-1cc1de329608,W912J2-17-Q-1029,https://www.fbo.gov/spg/USA/NGB/DAHA47-1/W912J2-17-Q-1029/listing.html,National Guard Bureau,"115 MSG/MSC, WI ANG",53704-2591,090517,Link To Document,COMBINE  ,0822,"Scott E. Homner, Contract Specialist, Phone 6082454524, Email scott.e.homner.mil@mail.mil",Total Small Business
V--TRANSPORT OF PORTABLE BRIDGE FROM NM TO WA (OLYM),09092017,17,nadine_joe@nps.gov,Department of the Interior,"NPS, PWR - OLYM MABO600 E. Park AvenuePort AngelesWA98362-6757US",,,<AMDCSS>,V,484110,0bb80132-8a77-11e7-89d0-1cc1de329608,P17PS02742,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02742/listing.html,National Park Service,NPS - All Offices,98362,082517,nadine_joe@nps.gov,COMBINE  ,0822,"Joe, Nadinenadine_joe@nps.gov",
