AGENCY,iname,label,AWDNBR,YEAR,OFFICE,SOLNBR,LOCATION,NTYPE,DATE
Department of the Army,b635f914-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W9098S-17-R-RFIFORG,ACC - RI (W9098S) (JMTC-RIA),SRCSGT,0801
Department of the Navy,b6796015-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,N68335-17-Q-0193,Naval Air Warfare Center Aircraft Division Lakehurst,PRESOL,0726
Department of the Army,b67960d7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912P9-17-Q-0025,USACE District St. Louis,COMBINE  ,0801
Department of the Navy,b6796082-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0038316G004N7006,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Defense Logistics Agency,b6795f51-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7M517Q1771,DLA Land and Maritime - BSM,COMBINE  ,0718
Department of Veterans Affairs,b6796119-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA National Consolidated Mail Outpatient ,VA77017Q0375,VA National Consolidated Mail Out Pharmacy,PRESOL,0622
Defense Logistics Agency,b6795f1f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SP330017P0861,17,DLA Acquisition Locations,null,DLA Distribution,AWARD,0810
Department of Agriculture,b635f8c0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,AG-32SD-C-17-0049,17,Agricultural Research Service,AG-32SD-S-17-0047,Western Business Service Center,AWARD,0811
Department of the Air Force,b635f8e3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Air Force Materiel Command,NSN1650-00-442-8091_Piston_Linear_Actuator_B-52_30026_FD2030-17-00454,PK/PZ Tinker AFB,SRCSGT,0825
United States Postal Service,b6795fc9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Mail  Operational Equipment Portfolio,2D-17-A-0045,Professional Printing  Creative Sercives CMC,SRCSGT,0728
Department of the Army,b67960ee-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Medical Command,W81K02-17-T-0397,Western Regional Contracting Office,SNOTE,0809
Department of Veterans Affairs,b679611a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA National Energy Business Center,VA70117N0089,VA National Energy Business Center,SNOTE,0626
Department of the Army,b635f91f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W911PT17Q0123,ACC - WRN (W911PT)(WVA),PRESOL,0808
Department of the Army,b6795fea-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912MM-17-T-0036,USPFO for South Dakota,COMBINE  ,0519
Department of the Air Force,b635f8df-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,FA2823-17-Q-6077,AFTC/PZIO - Eglin,SNOTE,0809
Department of the Army,b67960e1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W911WN17Q2099,"USACE District, Pittsburgh ",COMBINE  ,0802
Department of Veterans Affairs,b679611e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117N0828,Department of Veterans Affairs No. California Health Care System System,SRCSGT,0720
Department of the Air Force,b635f8f5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Mobility Command,FA4659-17-Q-0043,319 CONF,COMBINE  ,0727
Social Security Administration,b6796096-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SS09-17-6R021,17,"Office of Budget, Finance, Quality and Management",SSA-RFQ-R09-17-1017,Office of Acquisition and Grants,AWARD,0810
Department of the Navy,b6796085-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRPA117QT00L,NAVSUP Weapon Systems Support Philadelphia PA,JA,0809
Department of the Interior,b635f960-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GS-00P-14-BSD-1137/R17PD00469,17,Bureau of Reclamation,null,BOR - All Offices,AWARD,0810
Department of the Army,b635f97b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRRA117P0087,17,Defense Logistics Agency Detachment,SPRRA117Q0182,DLA Aviation and Missile Command (Aviation),AWARD,0810
Defense Logistics Agency,b6795f75-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE8EB17P1049,17,DLA Acquisition Locations,null,DLA Troop Support - Construction  Equipment - BSM,AWARD,0810
Department of the Air Force,b635f8f7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Mobility Command,FA48147252017,6th Contracting Squadron,SRCSGT,0727
Defense Logistics Agency,b635f9c3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A717R1043,DLA Aviation - BSM,SRCSGT,0807
Department of the Navy,b6796064-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QYY37,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0719
National Aeronautics and Space Administration,b6795fd9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,4200633766,Simplified Acquisitions,COMBINE  ,0807
Department of Veterans Affairs,b635f938-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Battle Creek VAMC,VA25017Q0736,Department of Veterans Affairs Medical Center,COMBINE  ,0613
Department of the Navy,b67960c5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Space and Naval Warfare Systems Command,N66001-17-Q-7460,SPAWAR Systems Center Pacific,COMBINE  ,0718
Department of the Interior,b6796001-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,P17PS02061,NPS - All Offices,PRESOL,0718
Defense Logistics Agency,b6795f7f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8EZ17Q0015,DLA Troop Support - Medical - BSM,COMBINE  ,0720
Department of the Navy,b6796037-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0016417Q0066,NSWC Crane Division,COMBINE  ,0623
Department of Veterans Affairs,b6796124-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117N0835,Department of Veterans Affairs No. California Health Care System System,SRCSGT,0720
Department of the Navy,b635f954-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Medicine and Surgery,N68908-17-R-0062,Navy Medicine East,SNOTE,0725
Defense Logistics Agency,b635f995-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDE86,DLA Aviation - BSM,COMBINE  ,0710
Department of the Army,b67960e8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Medical Command,W91YTZ-17-T-0180,"MEDCOM, North Atlantic Regional Contracting Office",COMBINE  ,0824
Defense Logistics Agency,b635f991-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDF01,DLA Aviation - BSM,COMBINE  ,0710
Department of the Air Force,b635f8ed-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Space Command,FA2521-17-Q-A015,45CONS (Bldg 423),SRCSGT,0802
Defense Logistics Agency,b635f9c2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A717R0654,DLA Aviation - BSM,JA,0727
Department of the Navy,b6796038-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0016417Q0064,NSWC Crane Division,PRESOL,0526
Department of the Navy,b6796104-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Marine Corps,M67861-17-T-0056,Marine Forces Reserve - (MARFORRES),COMBINE  ,0616
Department of the Army,b6795fed-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912J2-17-Q-0002,USPFO for Wisconsin,COMBINE  ,0722
Department of the Navy,b67960a1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Naval Research,N00173-17-Q-0294,Naval Research Laboratory/Supply,SNOTE,0726
Department of the Army,b635f92a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",0010955240-0001,MICC - Fort Leavenworth,COMBINE  ,0727
Defense Logistics Agency,b635f992-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBW74,DLA Aviation - BSM,COMBINE  ,0718
Department of Homeland Security,b67960f4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG3817QN00065,"Commanding Officer, USCG Aviation Logistics Center",SNOTE,0801
Defense Logistics Agency,b635f9a1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117G00080709,17,DLA Acquisition Locations,SPE4A517TT828,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f3d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L717P4899,17,DLA Acquisition Locations,null,DLA Land and Maritime - BSM,AWARD,0810
Department of the Army,b635f92d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W9124J-FSH-SB-OutReach,MICC - Fort Sam Houston (JBSA),SNOTE,0630
Government Publishing Office,b635f976-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Customer Services Department,704926,Philadelphia Regional Printing Procurement Office,COMBINE  ,0809
Department of the Army,b67960ea-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W81K02-17-P-M012,17,U.S. Army Medical Command,W81K02-17-T-0376,REGIONAL HEALTH CONTR OFC PACIFIC,AWARD,0818
Department of the Navy,b679607c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0038317PF291,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Department of the Army,b67960d8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,U.S. Army Corps of Engineers,W912DQ-17-R-7000,"USACE District, Kansas City",SNOTE,1017
Department of the Navy,b6796063-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0010417QFG50,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0706
Department of the Navy,b6796072-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QYW96,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0710
Department of the Army,b635f911-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W91QUZ06D0002BA70,17,Army Contracting Command,null,ACC - RI (W52P1J),AWARD,0810
Defense Logistics Agency,b635f9e0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PJ080,17,DLA Acquisition Locations,SPE4A617TT283,DLA Aviation - BSM,AWARD,0810
Department of the Interior,b67960d5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,U. S. Geological Survey,G16PS00310,USGS - All Offices,SRCSGT,0316
Department of the Navy,b6796032-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,S1300649695,NSWC Carderock Division,SNOTE,0727
Department of the Navy,b6796030-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N00024-17-R-4328,NAVSEA HQ,PRESOL,0725
Department of Agriculture,b6795fa3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-87BJ-S-17-0011,R-1 East Side Acquisition Team: Beaverhead-Deerlodge; Custer Gallatin; Helena; Lewis  Clark NFs; Dakota Prairie NG,COMBINE  ,0726
Department of Veterans Affairs,b679612a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Service Area Organization East,VA24017N0142,VA Service Area Organization East,SRCSGT,0511
Department of the Interior,b67960d3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,G17PX01082,17,U. S. Geological Survey,G17PS00701,USGS - All Offices,AWARD,0810
Defense Logistics Agency,b6795f3b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M017P4779,17,DLA Acquisition Locations,SPE7M217T4001,DLA Land and Maritime - BSM,AWARD,0810
Department of the Navy,b6796069-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Supply Systems Command,N00104-17-R-BE75,NAVSUP Weapon Systems Support Mechanicsburg PA,SRCSGT,1114
Department of the Army,b635f923-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W91WRZ-17-P-0013,17,"Army Contracting Command, ECC",W91WRZ-17-Q-0013,410th CSB (W912CL) RCC AMERICA,AWARD,0811
Department of the Navy,b679602a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N4008517D6131,17,Naval Facilities Engineering Command,N4008517R6131,"NAVFAC Mid-Atlantic, ROICC Portsmouth",AWARD,0814
Department of the Air Force,b635f8e0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,F2XTA17213A001,AFTC/PZIO - Eglin,SRCSGT,0817
Department of the Army,b6795fe4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912TF-17-T-0530,USPFO for New Hampshire,SRCSGT,0727
Department of the Air Force,b635f8f4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Special Operations Command,FA4855-17-R-0027,27 SOCONS,PRESOL,0726
Defense Logistics Agency,b635f9ae-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117P1198,17,DLA Acquisition Locations,SPE4A117T1928,DLA Aviation - BSM,AWARD,0810
Department of Health and Human Services,b6795fb7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Indian Health Service,17-102-SOL-00046,DHHS/IHS/ Division of Engineering Services-Seattle,PRESOL,0725
Department of the Army,b67960e3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912ES17T0099,"USACE District, St.  Paul",COMBINE  ,0720
Defense Logistics Agency,b635f9ab-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDN54,DLA Aviation - BSM,COMBINE  ,0718
Department of the Interior,b6795f9c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Fish and Wildlife Service,F17PS01117,CGS-WO,COMBINE  ,0801
Department of the Army,b67960e0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W912BU-17-D-0007,17,U.S. Army Corps of Engineers,W912BU-16-R-0016,"USACE District, Philadelphia",AWARD,0811
Defense Logistics Agency,b6795f2f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M2-17-C-0046,17,DLA Acquisition Locations,SPE7M817T1547,DLA Land and Maritime,AWARD,0726
Department of the Air Force,b635f8de-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA875017C0273,17,Air Force Materiel Command,null,AFRL/RIK -  Rome ,AWARD,0810
Department of Veterans Affairs,b679611f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117Q0676,Department of Veterans Affairs No. California Health Care System System,COMBINE  ,0712
Other Defense Agencies,b6796138-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Washington Headquarters Services,BOM072620171930,"WHS, Acquisition Directorate",SNOTE,0726
Defense Logistics Agency,b6795f28-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,DLA Acquisition Locations,SPMYM3-16-Q-8074,DLA Land and Maritime,COMBINE  ,0825
Department of the Army,b6795fec-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W5654W71860100,USPFO for Utah,COMBINE  ,0720
Department of the Army,b635f90d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W15QKN-17-R-0063,ACC - NJ (W15QKN),PRESOL,0726
Department of the Air Force,b635f8cc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Education and Training Command,FA4419-17-Q-0047,Altus AFB Contracting Flight,SNOTE,0810
Department of the Air Force,b635f8fa-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Mobility Command,FA462017TA309,92 CONS,COMBINE  ,0727
Department of Veterans Affairs,b6796112-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Corporate Franchise Data Center,VA77717Q0163,Department of Veterans Affairs Corporate Franchise Data Center,COMBINE  ,0817
Department of the Interior,b635f941-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Indian Affairs,A17PS01120,BIA - DAPM,COMBINE  ,0801
Department of the Navy,b679601a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,N0042117Q0388,Naval Air Warfare Center Aircraft Division Pax River,COMBINE  ,0821
Department of the Navy,b679604a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0018917QZ464,NAVSUP Fleet Logistics Center Norfolk Philadelphia Office,COMBINE  ,0819
Defense Logistics Agency,b6795f55-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7M517Q1789,DLA Land and Maritime - BSM,COMBINE  ,0719
Department of the Army,b6795fe6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912J3-17-T-0022,USPFO for New Mexico,PRESOL,0621
Department of the Navy,b679610a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Marine Corps,M6700417Q0082,MCCS Albany,COMBINE  ,0628
Department of the Army,b6795fe9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912QG-17-T-0018,USPFO for South Carolina,COMBINE  ,0627
Department of the Air Force,b635f8c8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA4890-17-C-0012,17,Air Combat Command,FA4890-17-R-0009,AMIC CONTRACTING OFFICE,AWARD,0810
Department of the Navy,b6796076-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0038317Y0770,NAVSUP Weapon Systems Support Philadelphia PA,SRCSGT,0809
Department of Veterans Affairs,b6795fb3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Hampton VAMC,null,Department of Veterans Affairs Medical Center,SNOTE,0824
Department of the Navy,b6796075-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0010417PCF74,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0810
Department of Veterans Affairs,b67960b1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Phoenix VAMC,VA25817N0741,Carl T. Hayden Department of Veterans Affairs Medical Center,SRCSGT,0809
Department of the Navy,b6796031-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,1300646037,NSWC Carderock Division,SNOTE,0726
Department of the Air Force,b67960a9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA527017QA082,18 CONS - Kadena,COMBINE  ,0712
Department of the Air Force,b635f8d8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,VMWAREF4FDAG7117B1053QSW,"AFLCMC/PK - WPAFB (includes  PZ, WL, WW, WI, WN, WK, LP, WF, WK)",COMBINE  ,0801
Defense Logistics Agency,b6795f4b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7M317Q0785,DLA Land and Maritime - BSM,COMBINE  ,0627
Department of the Navy,b679604e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0040617Q0113,NAVSUP Fleet Logistics Center Puget Sound,PRESOL,0818
General Services Administration,b67960ba-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GS-04P-LNC60480,17,Public Buildings Service (PBS),4NC0307,PBS Center for Broker Services (47PA05),AWARD,0804
Department of Veterans Affairs,b6795fb5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Huntington VAMC,VA24517Q0238,Department of Veterans Affairs Medical Center,SNOTE,0726
Department of the Navy,b6796084-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRPA114RZ295,NAVSUP Weapon Systems Support Philadelphia PA,SNOTE,0810
Defense Information Systems Agency,b67960b3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GGTG000063EBM,17,Procurement Directorate,HC1013-16-T-1939,DITCO-Scott,AWARD,0125
Department of the Navy,b6796061-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QHB45,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0731
Department of the Navy,b6796022-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Facilities Engineering Command,N3943017R1981,NAVFAC EXWC Port Hueneme,COMBINE  ,0804
Department of Homeland Security,b67960f7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG24-17-Q-XJH200,USCG Base Boston,COMBINE  ,0724
Defense Logistics Agency,b6795f82-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE3SE17Q1769,DLA Troop Support - Subsistence - BSM,COMBINE  ,0724
Defense Logistics Agency,b6795f25-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE60117R03XX,DLA Energy - Missile Fuels,PRESOL,0817
Defense Logistics Agency,b6795f1c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SP451017P0033,17,DLA Acquisition Locations,null,DLA Disposition Services,AWARD,0810
Department of the Navy,b6796108-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Marine Corps,M00264-17-T-0146,MCB Quantico - National Capital Region (NCR),COMBINE  ,0725
Defense Logistics Agency,b6795f33-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX17R0103,DLA Land and Maritime,SRCSGT,0801
General Services Administration,b67960bd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Public Buildings Service (PBS),6AL0092,R4 Leasing Division (47PE99),PRESOL,0510
Department of Veterans Affairs,b6795f87-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,VA263-17-P-0932,17,Fargo VAMROC,VA26317Q0637,Department of Veterans Affairs Medical and Regional Office Center,AWARD,0726
Defense Logistics Agency,b6795f1e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SP3300-17-Q-5020,DLA Distribution,SNOTE,0818
Department of the Army,b635f984-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Defense Logistics Agency Detachment,SPRDL1-17-R-0327,DLA TACOM - Warren Acquisition Center,PRESOL,0615
Department of the Navy,b6796065-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QYF33,NAVSUP Weapon Systems Support Mechanicsburg PA,JA,0801
Defense Logistics Agency,b6795f34-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M417P4241,17,DLA Acquisition Locations,SPE7M417T4168,DLA Land and Maritime - BSM,AWARD,0810
Department of the Navy,b6796048-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0286,NAVSUP Fleet Logistics Center Jacksonville Mayport Office,COMBINE  ,0807
Department of the Interior,b635f950-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00774,Nevada Region,PRESOL,0630
Department of the Air Force,b635f8d7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,FA8723-16-D-0001,AFLCMC/HB - Hanscom,SNOTE,0808
Department of the Navy,b6795fce-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Military Sealift Command,N3220517Q4930,MSC Norfolk (N32205),SRCSGT,0515
Department of the Navy,b679605a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRMM117CWA89,17,Naval Supply Systems Command,SPRMM117RWH22,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0726
Department of the Air Force,b67960ac-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA5004-17-R-D006,354 CONS - Eielson,COMBINE  ,0711
Department of Veterans Affairs,b635f96f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Columbia (SC) VAMC,VA24717Q0882,William Jennings Bryan Dorn Department of Veterans Affairs Medical Center,SNOTE,0815
Department of the Army,b6795fe8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912LD-17-T-0037,USPFO for Rhode Island,COMBINE  ,0728
Department of the Army,b635f937-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W9124R-17-T-0047,MICC - Yuma Proving Ground,COMBINE  ,0807
Department of the Army,b67960e2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912DW17Q0092,"USACE District, Seattle",COMBINE  ,0727
Department of the Navy,b679607a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRPA117QZ108,NAVSUP Weapon Systems Support Philadelphia PA,SRCSGT,0511
Defense Logistics Agency,b6795f62-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE1C117P1427,17,DLA Acquisition Locations,SPE1C117Q0307,DLA Troop Support - Clothing  Textiles - BSM,AWARD,0810
Department of Commerce,b6795ff2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institute of Standards and Technology (NIST),SB1341-17-RQ-0321,Acquisition Management Division,COMBINE  ,0621
Department of the Air Force,b635f8f3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Special Operations Command,F1L1H57201AW02,27 SOCONS,SRCSGT,0803
Department of Health and Human Services,b6795fa0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Food and Drug Administration,FDA-17-RFP-1178035,Office of Acquisitions and Grants Services - Rockville,COMBINE  ,0713
Department of Health and Human Services,b6795ffc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,National Institutes of Health,VS4285122,National Institute of Environmental Health Sciences,SNOTE,0817
Department of the Army,b635f925-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, ECC",W90VN9-17-R-0021,411TH CSB (W90VN9) RCO DAEGU,COMBINE  ,0726
Department of Veterans Affairs,b679611c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117R0514,Department of Veterans Affairs No. California Health Care System System,SRCSGT,0518
Department of the Navy,b6796034-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N64267-17-T-0201,NSWC Corona Division,COMBINE  ,0807
Defense Logistics Agency,b635f9a7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TCS40,DLA Aviation - BSM,COMBINE  ,0705
Department of the Navy,b6796074-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRMM113G11051380,17,Naval Supply Systems Command,SPRMM117QYL47,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0810
Department of the Interior,b67960d1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U. S. Geological Survey,G17PS00507,USGS - All Offices,PRESOL,0509
Department of the Interior,b635f95c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Reclamation,R17PS00480,BOR - All Offices,PRESOL,0609
