<AWDNBR>,<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<LINENBR>,<OFFADD>,label,<CLASSCOD>,<NAICS>,<AWDAMT>,iname,<AWDDATE>,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<DATE>,<DESC>,<AWARDEE>,<CONTACT>,<NTYPE>
SPE7L317V9552,"10--SWITCH ASSEMBLY,AZI",09062017,17,Erik.1.Minshall@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMELAND SUPPLIER OPNS VEHICLE SPTPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,10,332994,$31437.00,0bb80322-8a77-11e7-89d0-1cc1de329608,082217,SPE7L317TL832,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7L317V9552.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0821,Link To Document,Coast To Coast Aerospace LLC 752 Commerce dr ste9  Venice 34292-1744 US,Erik Minshall614-692-1826Erik.1.Minshall@dla.mil,
LOK00271,Lease Award Oklahoma City,,17,,General Services Administration,,819 Taylor Street Fort Worth TX 76102,<AWARD>,X,531190,"$20,112.50",0bb803e7-8a77-11e7-89d0-1cc1de329608,082117,,https://www.fbo.gov/spg/GSA/PBS/7P/Awards/LOK00271.html,Public Buildings Service (PBS),R7 Realty Services (7P),76102,0822,"Project Number: 4OK0173Lease Number: LOK00271Location of Premises: Oklahoma City, OklahomaDate of Award/Acceptance: 8/21/2017Lessors Name (per SAM): Mellisa MilburnLessors Address: 2800 N Lincoln Blvd. Oklahoma City, Oklahoma 73105Total Annual amount of the Lease (firm term): $20,112.50",Mellisa Milburn,"Paul Wilhems, Phone 817-850-8482, Email paul.wilhems@gsa.gov",
GS-07P-LTX00131,"Lease Award in Austin, Texas",,17,,General Services Administration,,,<AWARD>,X,531120,"$86,935,771.35",0bb803e0-8a77-11e7-89d0-1cc1de329608,081117,4TX0928,https://www.fbo.gov/notices/72454d688260dec1570c5d3ed886e33a,Public Buildings Service (PBS),PBS Center for Broker Services (47PA05),"SRA/Eastport Office Building, LLC, 5345 Pine Tree Drive, Miami Beach, FL 33140-2143 US",0822,,"HP Southpark, LP, 5450 Bee Cave RoadrSuite 4A, Austin, TX 78746 US","Nicole L. French, NBC Contractor, Phone 3037292352, Email nicole.french@gsa.gov",
M0014617PX074,Laundering Service for Tan Coveralls,,17,,Department of the Navy,0001-4002,Cherry Point Satellite Contracting OfficerPSC Box 8018 MCAS Cherry Point NC 28533-0018,<AWARD>,S,812332,"$33,280",0bb803fa-8a77-11e7-89d0-1cc1de329608,082217,M00146-17-Q-X074,https://www.fbo.gov/spg/DON/USMC/M00146/M00146-17-Q-X074/listing.html,United States Marine Corps,MCAS Cherry Point,28533-0018,0822,,"299 A Cleaner LLC, 2400 Neuse Blvd, New Bern , NC 28562 US","Larry Davis, Contract Specialist, Phone 2524667765, Email larry.davis1@usmc.mil - Sherry L Kelly, Contract Specialist, Phone 252-466-7765, Fax 252-466-3571, Email sherry.kelly@usmc.mil",COMBINE  
,"59--ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT",,17,,Department of the Army,,"DLA LAND AT ABERDEEN, 6001 COMBAT DRIVE ROOM C1-301",<AWARD>,59,334220,,0bb802c7-8a77-11e7-89d0-1cc1de329608,,,,Defense Logistics Agency Detachment,DLA Aberdeen (ACC-APG),21010,0822,,,,
SPE4A417V9112,"58--LIGHT,SIGNAL",09062017,17,DEBORAH.JORDAN@DLA.MIL,Defense Logistics Agency,0001,DLA AVIATIONSUPPLIER OPER SUPPLIER SPT DIV8000 JEFFERSON DAVIS HIGHWAYRICHMOND VA  23297USA,<AWARD>,58,334290,$32869.62,0bb80309-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617TDC94,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617TDC94/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,TE Connectivity Seacon Phoenix 15 Gray Ln Ste 109  Ashaway 02804-1210 US,DEBORAH JORDAN804-279-2616DEBORAH.JORDAN@DLA.MIL,COMBINE  
SPE7M517PE535,59--ELECTRONIC COMPONEN,09062017,17,Barbara.Hoffmann@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMEACTIVE DEVICES DIVISIONPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,59,334418,$44874.00,0bb80358-8a77-11e7-89d0-1cc1de329608,082217,SPE7M517TL638,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7M517PE535.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,"CENTROID, INC. 111 E AMES CT UNIT 1  PLAINVIEW 11803-2307 US",Barbara Hoffmann614-692-7537Barbara.Hoffmann@dla.mil,
W911S2-17-P-0531,24--115 Hp Tractor,02032018,17,,Department of the Army,ALL,"1843 23rd St, Fort Polk, LA 71459",<AWARD>,24,,"$60,150.15",0bb80385-8a77-11e7-89d0-1cc1de329608,082217,PolkDPWMJL006,https://www.fbo.gov/notices/c01f44e5add07b7066829eae22b1473b,FedBid,FedBid.com -- for Department of Army procurements only,"MVP NETWORK CONSULTING, LLC [DUNS: 125236138],1297 HERTEL AVE,BUFFALO NY 14216",0822,No Description Provided,"THE AKANA GROUP [DUNS: 079146719],118 S Main,Ann Arbor MI 48104","Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",COMBINE  
SPE4A717V1933,"16--HARNESS SET,AIRCRAF",09062017,17,Matthew.Wood@dla.mil,Defense Logistics Agency,0001,DLA AVIATIONASC SUPPLIER OPER AE AND AF DIV8000 JEFFERSON DAVIS HWYRICHMOND VA  23297USA,<AWARD>,16,336413,$45820.95,0bb802e7-8a77-11e7-89d0-1cc1de329608,082217,SPE4A717U0340,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A717U0340/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,S I T CORPORATION DBA SYRACUSE 13200 SW 128TH ST BLDG H  MIAMI 33186-5881 US,Matthew Wood804-279-4369Matthew.Wood@dla.mil,COMBINE  
SPE7M517PE513,59--SEMICONDUCTOR DEVIC,09062017,17,Anthony.Foster@dla.mil,Defense Logistics Agency,0001-0002,DLA LAND AND MARITIMEACTIVE DEVICES DIVISIONPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,59,334413,$114375.00,0bb8033e-8a77-11e7-89d0-1cc1de329608,082217,SPE7M517TN822,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7M517PE513.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,MAX COMPONENTS INC 2805 VETERANS MEMORIAL HWY STE 1  RONKONKOMA 11779-7680 US,Anthony Foster614-692-7508Anthony.Foster@dla.mil,
L17PX01277,"F--Hand Planting Seedlings, Bureau of Land Management",09062017,17,,Department of the Interior,,BLM NV-STATE OFC BGTFIN SVC(NV955)1340 FINANCIAL BLVD.RENONV89502US,<AWARD>,F,561730,"$57,282.75",0bb802a4-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DOI/BLM/NV/Awards/L17PX01277.html,Bureau of Land Management,Nevada Region,89502,0822,"Hand Planting Seedlings, Bureau of Land Management Nevada, Winnemucca Field OfficeIGF::OT::IGF","EXPRESS FORESTRY SERVICE, LLC203 EXPRESS LNLESLIEAR72645-9504US","Stoddard, Shad",
15B60317D00000053,Solid Waste Removal Services - HON,06212018,17,,Department of Justice,,U. S. Armed Forces Reserve Complex346 Marine Forces Drive Grand Prairie TX 75051,<AWARD>,S,562111,"$253,687.46",0bb802ba-8a77-11e7-89d0-1cc1de329608,080417,RFQP06031700003A,https://www.fbo.gov/spg/DOJ/BPR/70032/RFQP06031700003A/listing.html,Bureau of Prisons,Field Acquisition Office (FAO),75051,0822,Please see the attached for further award details. Thank you.,"Aloha Waste Systems, Inc., 2000 Mokulele Hwy Lot 250, Puunene, HI 96820 US","LaShundra D. Thomas, Contracting Officer, Phone 9723524529, Fax 9723524545, Email ldthomas@bop.gov - Teresa A Cooper, Contract Specialist, Phone 972-352-4535, Fax 972-352-4545, Email t1cooper@bop.gov",PRESOL
SPE2DX15D93839627,65--DICYCLOMINE 20 MG TABLET 1000S,09062017,17,Amanda.Doherty@dla.mil,Defense Logistics Agency,0001,DLA TROOP SUPPORTMEDICAL SUPPLY CHAIN PHARM FSA700 ROBBINS AVENUEPHILADELPHIA PA  19111USA,<AWARD>,65,325411,$432473.00,0bb8037c-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DLA/J3/DSCP-M-BSM/Awards/SPE2DX15D93839627.html,DLA Acquisition Locations,DLA Troop Support - Medical - BSM,19111,0822,Link To Document,DMS PHARMACEUTICAL GROUP INC. 810 BUSSE HWY  PARK RIDGE 60068-2302 US,Amanda Doherty215-737-9508Amanda.Doherty@dla.mil,
A17PX01238,S--ELECTRIC SERVICES FOR JFK SCHOOL,09062017,17,,Department of the Interior,,BIA WRO 000112600 N CENTRAL AVENUEContracting OfficeSUITE 400 MAILROOMPhoenixAZ85004US,<AWARD>,S,221121,"$35,000.00",0bb8029c-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DOI/BIA/RestonVA/Awards/A17PX01238.html,Bureau of Indian Affairs,BIA - DAPM,85004,0822,IGF::OT::IGF  ELECTRIC SERVICES FOR JFK SCHOOL,"NAVOPACHE ELECTRIC COOPERATIVE, INC.1878 W WHITE MOUNTAIN BLVDLAKESIDEAZ85929-6348US","Schiaveto, Melanie",
SPE4A717PD865,"16--DUCT ASSEMBLY,AIR C",09062017,17,Sandra.Armuth@dla.mil,Defense Logistics Agency,0001,DLA AVIATIONASC SUPPLIER OPER AE AND AF DIV8000 JEFFERSON DAVIS HWYRICHMOND VA  23297USA,<AWARD>,16,336413,$30852.00,0bb802ed-8a77-11e7-89d0-1cc1de329608,082217,SPE4A717TJ551,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/Awards/SPE4A717PD865.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,SENIOR OPERATIONS LLC DBA SENIOR 2980 N SAN FERNANDO BLVD  BURBANK 91504-2522 US,Sandra Armuth804-279-2390Sandra.Armuth@dla.mil,
A17PX01494,65--MEDICAL SUPPLIES,09062017,17,,Department of the Interior,,BIA SPRO 00003100 NORTH RIVERSIDE DRIVEContracting OfficeAnadarkoOK73005-0368US,<AWARD>,65,339113,"$8,410.91",0bb8029d-8a77-11e7-89d0-1cc1de329608,082217,A17PS01169,https://www.fbo.gov/spg/DOI/BIA/RestonVA/A17PS01169/listing.html,Bureau of Indian Affairs,BIA - DAPM,73005,0822,MEDICAL SUPPLIES FOR RIVERSIDE INDIAN SCHOOL,"NATIVEVET MATERIEL, LLC5600 WYOMING BLVD NE STE 150ALBUQUERQUENM87109-2704US","Robinson, Margie",COMBINE  
W9124M-17-P-0148,53--Blocking and Bracing materials,02132018,17,,Department of the Army,ALL,"976 William H. Wilson Ave, Fort Stewart, GA 31314",<AWARD>,53,,"$40,675.85",0bb80382-8a77-11e7-89d0-1cc1de329608,082217,W9124M-17-Q-WG10,https://www.fbo.gov/notices/dedfe0833d2152888d39e0f3e49d40b6,FedBid,FedBid.com -- for Department of Army procurements only,"PHILLIPS CORPORATION [DUNS: 003258043],7390 COCA COLA DRIVE,HANOVER MD 21076",0822,No Description Provided,"WHOLESALE BUILDING PRODUCTS, LLC [DUNS: 605945257],5933 Broadway Ave,Jacksonville FL 32254","Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",COMBINE  
80MSFC17P0013,Field Emission Scanning Electron Microscope (FESEM),,17,,National Aeronautics and Space Administration,1,"NASA/George C. Marshall Space Flight Center, Office of Procurement Marshall Space Flight Center AL 35812",<AWARD>,66,334516,"not to exceed $349,900",0bb803a6-8a77-11e7-89d0-1cc1de329608,081617,80MSFC17Q0024,https://www.fbo.gov/notices/bdba7e3e8728c49bd0ffd085c4d1215d,Marshall Space Flight Center,Office of Procurement,35812,0822,Microscope per attached specifications,"Scientific Sales, Inc., 130 Valley CT, Oak Ridge, TN 37830 US","Kimberly N. Williams, Contracting Officer, Phone 2565441580, Email kimberly.n.williams@nasa.gov",
SPM4A8-17-M-0079,MONARCH LATHE PARTS,,17,,Defense Logistics Agency,,8000 Jefferson Davis Highway Richmond VA 23297-5000,<AWARD>,,,"$8,021.00",0bb802f7-8a77-11e7-89d0-1cc1de329608,082217,SPM4A8-17-Q-0052,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/Awards/SPM4A8-17-M-0079.html,DLA Acquisition Locations,DLA Aviation - BSM,23297-5000,0822,,MONARCH LATHES LP,"Kevin H. Williams, Phone 8042796931, Email kevin.h.williams@dla.mil",
SPE4A617PK902,"53--LATCH,ASSEMBLY,HOOK",09062017,17,Keisha.Brooks@dla.mil,Defense Logistics Agency,0001,DLA AVIATIONASC COMMODITIES DIVISION8000 JEFFERSON DAVIS HIGHWAYRICHMOND VA  23297USA,<AWARD>,53,332994,$69480.00,0bb80304-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617TCQ20,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617TCQ20/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,Hartwell Corporation 900 S Richfield Rd  Placentia 92870-6732 US,Keisha BrooksDSN-695-6988Keisha.Brooks@dla.mil,COMBINE  
W912PQ-17-P-0269,Mall Advertising in New York,,17,,Department of the Army,0001,330 Old Niskayuna Road Latham NY 12110-2224,<AWARD>,76,541840,"$46,700",0bb803ab-8a77-11e7-89d0-1cc1de329608,082217,W912PQ-17-Q-0035,https://www.fbo.gov/spg/USA/NGB/DAHA30/W912PQ-17-Q-0035/listing.html,National Guard Bureau,USPFO for New York,12110-2224,0822,,"Blue Outdoor Holdings LLC, 1065 Avenue of the Americas Rm 301, New York, NY 10018-0863 US","Hemwatie Ramasami, Phone 5187864640, Email hemwatie.ramasami.civ@mail.mil",COMBINE  
W912PQ-17-P-0294,Konica Maintenance,,17,,Department of the Army,0001-0010,330 Old Niskayuna Road Latham NY 12110-2224,<AWARD>,D,811212,$13700,0bb803ac-8a77-11e7-89d0-1cc1de329608,082217,W912PQ-17-Q-0032,https://www.fbo.gov/spg/USA/NGB/DAHA30/W912PQ-17-Q-0032/listing.html,National Guard Bureau,USPFO for New York,12110-2224,0822,award includes base plus four (4) option years.,"W912PQ-17-P-0, 1595 Spring Hill Rd, STE 400, Vienna, VA 22182-2228 US","Hemwatie Ramasami, Phone 5187864640, Email hemwatie.ramasami.civ@mail.mil",COMBINE  
SPE4A617C0203,"58--CONVERTER,FREQUENCY",09062017,17,Danny.K.Roberts@dla.mil,Defense Logistics Agency,0001,DLA AVIATIONASC COMMODITIES DIVISION8000 JEFFERSON DAVIS HIGHWAYRICHMOND VA  23297USA,<AWARD>,58,334511,$187252.50,0bb802f6-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617R0665,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/Awards/SPE4A617C0203.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,RODELCO ELECTRONICS CORP. 111 HAYNES CT  RONKONKOMA 11779-7221 US,Danny Roberts804-279-4913Danny.K.Roberts@dla.mil,
SPE3SE17P1953,73--DISHWASHING MACHINE,09062017,17,TIMOTHY.COYLE@DLA.MIL,Defense Logistics Agency,0001,DLA TROOP SUPPORTSUBSISTENCE FSE SUPPLY CHAIN700 ROBBINS AVENUEPHILADELPHIA PA  19111-5096USA,<AWARD>,73,333241,$51186.30,0bb8037f-8a77-11e7-89d0-1cc1de329608,082217,SPE3SE17Q1801,https://www.fbo.gov/spg/DLA/J3/DSCP-H-BSM/SPE3SE17Q1801/listing.html,DLA Acquisition Locations,DLA Troop Support - Subsistence - BSM,19111,0822,Link To Document,"INSINGER MACHINE COMPANY, THE 6245 STATE RD  PHILADELPHIA 19135-2905 US",TIMOTHY COYLE215-737-2043TIMOTHY.COYLE@DLA.MIL,COMBINE  
VA786-17-P-0717,99--M.J. Dolly Cooper Veterans Cemetery - (H1) Blank Granite Niche Covers  New Contract to provide Niche Cover replacements for an existing columbarium at M. J. Dolly Cooper (State) Veterans Cemetery. ,10022017,17,sheryl.palacio-davis@va.gov,Department of Veterans Affairs,0001,Department of Veterans Affairs;NCA Contracting Service;75 Barrett Heights Rd. Suite 309;Stafford VA  22556,<AWARD>,99,327213,"$3,390.00",0bb8040c-8a77-11e7-89d0-1cc1de329608,081817,VA78617Q0645,https://www.fbo.gov/spg/VA/VANCA/VANCA/VA78617Q0645/listing.html,VA National Cemetery Administration Centralized Contracting Division,Department of Veterans Affairs National Cemetery Administration,22556,0822,Link To Document,HILLCREST GRANITE COMPANY;1402 OLD MIDDLETON RD;ELBERTON;GA;30635,SHERYL PALACIO-SAVISsheryl.palacio-davis@va.govContracting Officers Email,PRESOL
SPE7L317V9583,"25--ARMOR,SUPPLEMENTAL,",09062017,17,NATALYA.RADYK@DLA.MIL,Defense Logistics Agency,0001,DLA LAND AND MARITIMELAND SUPPLIER OPNS VEHICLE SPTPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,25,336992,$31590.65,0bb8032a-8a77-11e7-89d0-1cc1de329608,082217,SPE7L317TQ970,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/SPE7L317TQ970/listing.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,GENERAL DYNAMICS LAND SYSTEMS - 1991 OXFORD ST E BLDG 15  LONDON N5V  2Z CA,Natalya Radyk614-692-4884NATALYA.RADYK@DLA.MIL,COMBINE  
SPE7L017V7106,61--POWER SUPPLY,09062017,17,KIMBERLY.WATSON@DLA.MIL,Defense Logistics Agency,0001,DLA LAND AND MARITIMELAND SUPPLY CHAIN ESOC BUYSPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,61,335312,$31478.16,0bb8036e-8a77-11e7-89d0-1cc1de329608,082217,SPE7L717T5987,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/SPE7L717T5987/listing.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,ADVANCED PRODUCTS SERVICES INC. 1137 CLUB VIEW DR  CENTERVILLE 45458-6079 US,Kimberly Watson614-692-7401KIMBERLY.WATSON@DLA.MIL,COMBINE  
AG-82A7-C-17-0083,Dental Hygienist Services,,17,,Department of Agriculture,,"1400 Independence AVE SW, MS-1138 Washington DC 20250-1138",<AWARD>,Q,621210,"Not to Exceed $96,750.00",0bb8039e-8a77-11e7-89d0-1cc1de329608,082217,AG-82A7-S-17-0064,https://www.fbo.gov/spg/USDA/FS/WO-AQM/AG-82A7-S-17-0064/listing.html,Forest Service,WO-AQM,20250-1138,0822,"Provide Dental Hygienist Services at Trapper Creek Job Corps Center, Darby, MT","Dental Power International, Inc., 205 Lloyd St., Suite 101r, Carrboro, NC 27510 US","Daryl L. Hawkins, Contract Specialist, Phone 3032755116, Email darylhawkins@fs.fed.us",PRESOL
W912JB-17-P-3075,84--Crewneck CVC T-Shirt,01212018,17,,Department of the Army,ALL,"3423 N. Martin Luther King Blvd, Lansing, MI 48906",<AWARD>,84,,"$60,133.50",0bb80386-8a77-11e7-89d0-1cc1de329608,082217,W912JB-17-T-2027_01,https://www.fbo.gov/notices/cabb25bba9b55b80ec9f26d986e67d31,FedBid,FedBid.com -- for Department of Army procurements only,"THE AKANA GROUP [DUNS: 079146719],118 S Main,Ann Arbor MI 48104",0822,No Description Provided,"FRONTIER INTERNATIONAL GROUP, LLC [DUNS: 080578344],3791 White Ash Road,S Bernardinoan CA 92407","Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",COMBINE  
SPE7M517PE511,59--HEADSET-MICROPHONE,09062017,17,Cody.G.Smith@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMEACTIVE DEVICES DIVISIONPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,59,334310,$144922.50,0bb80339-8a77-11e7-89d0-1cc1de329608,082217,SPE7M517TS960,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/SPE7M517TS960/listing.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,DAVID CLARK COMPANY INCORPORATED 360 FRANKLIN ST  WORCESTER 01604-4916 US,Cody Smith614-692-1486Cody.G.Smith@dla.mil,COMBINE  
SPE7L117V7505,"30--GEAR,HELICAL",09062017,17,april.green@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMELAND SUPPLY CHAINPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,30,333613,$41665.45,0bb8036f-8a77-11e7-89d0-1cc1de329608,082217,SPE7L217T2795,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7L117V7505.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,"STAG ENTERPRISE, INC. DBA SEI TAPE 383 WILBANKS DR  BALL GROUND 30107-6002 US",April Green614-692-1302april.green@dla.mil,
GS-07F-383AA/EP-G176-00246,66--Purchase Agilent Gas Chromatograph/Mass Spectromet,08252017,17,,Environmental Protection Agency,,Region 6US Environmental Protection Agency1445 Ross AvenueSuite 1200DallasTX75202-2733USA,<AWARD>,66,334516,"$117,545.83",0bb803d6-8a77-11e7-89d0-1cc1de329608,081017,,https://www.fbo.gov/spg/EPA/OAM/RegVI/Awards/GS-07F-383AA/EP-G176-00246.html,Office of Acquisition Management (OAM),Region VI,75202,0822,"IGF::OT::IGFAgilent 5977B Gas Chromatograph/Mass Spectrometer with all accessories and additional parts; 3 Additional monitors. FY2017 capital equipment item# 14Gas Chromatograph/Mass Spectrometer Model 5977B by Agilent Technologies. In addition to this instrument there are 3 Dell monitors.This instrument is needed to replace an aging instrument. It will be used to analyze all sample types for Superfund, RCRA and Drinking Water methods.","TEVET, LLC1113 TUSCULUM BLVD. SUITE 108GREENEVILLETN37745USA","Mayberry, Roy",
SPE2DX15D93839628,65--  INOTROPE DOBUTAMINE HCL 12.5MG/ML,09062017,17,Amanda.Doherty@dla.mil,Defense Logistics Agency,0001,DLA TROOP SUPPORTMEDICAL SUPPLY CHAIN PHARM FSA700 ROBBINS AVENUEPHILADELPHIA PA  19111USA,<AWARD>,65,325411,$54897.30,0bb8037d-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DLA/J3/DSCP-M-BSM/Awards/SPE2DX15D93839628.html,DLA Acquisition Locations,DLA Troop Support - Medical - BSM,19111,0822,Link To Document,DMS PHARMACEUTICAL GROUP INC. 810 BUSSE HWY  PARK RIDGE 60068-2302 US,Amanda Doherty215-737-9508Amanda.Doherty@dla.mil,
HC101317PB124,"START A MEASURED BUSINESS LINE- PALM BEACH, FL",09062017,17,,Defense Information Systems Agency,,,<AWARD>,D,517110,$3189.4,0bb803dc-8a77-11e7-89d0-1cc1de329608,082217,HC101317QB256,https://www.fbo.gov/spg/DISA/D4AD/DITCO/HC101317QB256/listing.html,Procurement Directorate,DITCO-Scott,62225,0822,AWARD NOTICE,"Granite Telecommunications, LLC","Amanda Romanitis,618-229-9557;Peter DeMeuse,618 229-9530",COMBINE  
N0025917P0674,Plasma Generator,,17,,Department of the Navy,,34800 Bob Wilson Drive Bldg 1G San Diego CA 92134,<AWARD>,65,339112,$24450.00,0bb803cc-8a77-11e7-89d0-1cc1de329608,082217,N0025917N0104,https://www.fbo.gov/notices/f392ef9dbfd519dbfb23bbdda44eeed8,Naval Supply Systems Command,Naval Medical Center,92134,0822,,"Medtronic, Inc.","Gilberto A. esteves, Phone 6197442863, Email gilberto.a.esteves.civ@mail.mil",COMBINE  
SPRTA114G0002UM53,"53--SCREW,MACHINE",09062017,17,Mai.Truong@dla.mil,Defense Logistics Agency,0001-0003,DLA OKLAHOMA CITYDLA LOCAL PURCHASING AO3001 STAFF DRIVETINKER AFB OK  73145-3070USA,<AWARD>,53,332722,$25616.80,0bb802f2-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/Awards/SPRTA114G0002UM53.html,DLA Acquisition Locations,DLA Aviation - BSM,73145,0822,Link To Document,"CFM International, Inc. 6440 Aviation Wy  West Chester 45069-4546 US",Mai Truong405-736-4213Mai.Truong@dla.mil,
SPE7M517V8859,59--CIRCUIT BREAKER,09062017,17,dscc-fmsbd.inquiry@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMEACTIVE DEVICES DIVISIONPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,59,335313,$129900.00,0bb80364-8a77-11e7-89d0-1cc1de329608,082217,SPE7M517TR454,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/SPE7M517TR454/listing.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,Empire Avionics Corp. 38 Loop Rd Ste 201  White Plains 10604-1236 US,Vicky Trueblood614-692-7889dscc-fmsbd.inquiry@dla.mil,COMBINE  
SPE4A417V9069,"66--COUNTER,RECIPROCATI",09062017,17,DEBORAH.JORDAN@DLA.MIL,Defense Logistics Agency,0001,DLA AVIATIONSUPPLIER OPER SUPPLIER SPT DIV8000 JEFFERSON DAVIS HIGHWAYRICHMOND VA  23297USA,<AWARD>,66,334519,$27176.00,0bb802d6-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617TCX47,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617TCX47/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,DYNAPAR CORPORATION DBA Danaher 2100 W Broad St  Elizabethtown 28337-8826 US,DEBORAH JORDAN804-279-2616DEBORAH.JORDAN@DLA.MIL,COMBINE  
N6247317C3410,"Y--P-1237, Convert Warehouse to Fitness Facility B-1533, MCAGCC Twentynine Palms, CA",09222017,17,,Department of the Navy,,"N62473 NAVFAC SOUTHWEST, CENTRAL IPT CODE ROPCA 1220 Pacific Highway San Diego, CA",<AWARD>,Y,236220,$2599423,0bb803c0-8a77-11e7-89d0-1cc1de329608,071917,N6247317R3410,https://www.fbo.gov/spg/DON/NAVFAC/N68711A2/Awards/N6247317C3410.html,Naval Facilities Engineering Command,"NAVFAC Southwest, CENTRAL IPT",92132,0822,No Description Provided,Compendium International,Josh Mentink619-532-4082,
GS-03B-09085,MSHA Extension,,17,,General Services Administration,11,The Dow Buildingr100 S Independence Mall Westr Philadelphia PA 19106-1521,<AWARD>,X,531210,$141950,0bb803e2-8a77-11e7-89d0-1cc1de329608,082217,7PA2293,https://www.fbo.gov/notices/dfc0cb4f17d316976691c35b318b1c55,Public Buildings Service (PBS),R3 Acquisition Management Division (47PD00),19106-1521,0822,,"Estate of Geoge D. Agre, 66 Meadowbrook Ave, Greensburg, PA US","Meghan A Kang, Phone 2154462857, Email meghan.kang@gsa.gov",
